law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
Adams Law Offices,http://adamslawoffices.com/,https://www.google.com/maps/place/?q=place_id:ChIJcW9U1aAbwYcR3a6BjgXanLE,,Blue Springs,MO,Jackson,(816) 228-1776,adamslawoffices@sbcglobal.net,Criminal Defense,1400 US-40,64015,Kansas City,5
"Baylard Law Office, LLC",http://www.baylardlaw.com,,,Blue Springs,MO,Jackson,(816) 224-2550,,General,2307 NW South Outer Road,64015,Kansas City,4
Blue Springs Law Office,https://bluespringslawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJw3iNEbQbwYcRMB41jOEt3Yk,,Blue Springs,MO,Jackson,(816) 224-9500,,Personal Injury,1114 W Main St,64015,Kansas City,5
Bredehoft Law Firm,http://www.lawyerbluesprings.com/,https://www.google.com/maps/place/?q=place_id:ChIJ8Wqd4qsbwYcR857VSYbm8OE,,Blue Springs,MO,Jackson,(816) 229-8533,,Criminal Defense,1200 NW S Outer Rd # 109,64015,Kansas City,5
Burmeister Gilmore LLP,http://www.bgattorney.com/,https://www.google.com/maps/place/?q=place_id:ChIJOf1dEJriwIcRM3PCaHkjLms,,Blue Springs,MO,Jackson,(816) 373-5590,info@BGattorney.com,Personal Injury,2525 NW S Outer Rd SUITE B,64015,Kansas City,5
Dale Law Firm,http://www.thedalelawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJw3iNEbQbwYcRySiLkHkzo5g,,Blue Springs,MO,Jackson,(816) 467-4500,,Estate Planning,1114 W Main St,64015,Kansas City,2
Eskew J Brand ATY J Brand Eskew,https://www.terlaw.com/j-brand-eskew,,,Blue Springs,MO,Jackson,(816) 228-6400,,General,1600 NE Coronado Dr,64014,Kansas City,4
Gardner Paul H,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.attorneyhelp.org%2Fattorneys%2Flisting_fffc23ec664cfc056dfb96c260ea6a85.html&rut=329ae49f044a1b49375a7cd08243735a10e08033b84bbbcf53e327e4d9f864fe,,,Blue Springs,MO,Jackson,(816) 224-3005,,General,801 NW Vesper St,64015,Kansas City,4
Garten Kendall R,http://www.gartenlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJu0zeg3AawYcRuGt1SBAAWAs,,Blue Springs,MO,Jackson,(816) 229-1299,,Personal Injury,2012 NW S Outer Rd,64015,Kansas City,5
Hollingshead & Dudley - DWI Lawyers,http://kansascitydwis.com,https://www.google.com/maps/place/?q=place_id:ChIJPZv-EbQbwYcRB1zHIQ8U6hg,,Blue Springs,MO,Jackson,(816) 895-7070,,DUI,1114 W Main St,64015,Kansas City,5
Joe Don Butcher,,https://www.google.com/maps/place/?q=place_id:ChIJob1zLqsbwYcRXvXiyimayao,,Blue Springs,MO,Jackson,(816) 228-2424,,Criminal Defense,1080 NW S Outer Rd #202,64015,Kansas City,5
"Jordan Law, LLC",https://www.jordanlawkc.com/contact-us-1,https://www.google.com/maps/place/?q=place_id:ChIJVVV5zA_vwIcRpkE2YVqUqxE,,Blue Springs,MO,Jackson,(816) 429-1950,alfred@jordanlawkc.com,Estate Planning,1080 NW S Outer Rd #202,64015,Kansas City,2
Joyce B. Kerber P.C.,http://bluespringslawfirm.com,,,Blue Springs,MO,Jackson,(816) 607-8116,,General,1200 NW South Outer Rd,64015,Kansas City,4
King J Scott,http://www.scottkingelderlaw.com,,,Blue Springs,MO,Jackson,(816) 478-6699,,General,601 NW Jefferson St,64014,Kansas City,4
Law Office of Brian D. Webb LLC,https://www.brianwebblaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJR8zc7-XiwIcRvf7tbeCVEio,,Blue Springs,MO,Jackson,(816) 350-9888,attywebb2@netscape.net,DUI,601 NW Jefferson St Ste 5B,64014,Kansas City,5
Law Office of Jerry W Potocnik,http://potocniklaw.com,,,Blue Springs,MO,Jackson,(816) 224-3133,,General,1200 NW South Outer Rd,64015,Kansas City,4
"Law Office of John Adams Christiansen, L.C.",http://www.johnadamschristiansenlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJJZfxq5wZwYcRJfzG8jxZQ-8,,Blue Springs,MO,Jackson,(816) 416-7070,,General,333 SW Lake Village Blvd,64014,Kansas City,4
