law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
Law Office of Richard A Carnahan,,https://www.google.com/maps/place/?q=place_id:ChIJr0tRcj-bwIcR8Py9yLPYXc8,,De Soto,KS,Johnson,(913) 583-3326,,General,33041 W 83rd St,33041,Kansas City,4
Roethe Krohn Pope LLP,https://www.roethelaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ57mCYREVBogRh_mJYK6yk4U,,Edgerton,WI,Johnson,(608) 884-3391,roethe@roethelaw.com,Estate Planning,24 N Henry St,53534,Kansas City,2
"Chinn, Stephen P",,,,Fairway,KS,Johnson,(913) 362-5754,,General,3909 W 57th St,66205,Kansas City,4
Eidson and Partner,http://www.eidsonandpartners.com,,,Fairway,KS,Johnson,(913) 387-3270,,General,4300 Shawnee Mission Pkwy,66205,Kansas City,4
Karl Johnson law office,http://karlgjohnsonlawoffice.com,,,Fairway,KS,Johnson,(913) 262-1886,,General,4330 Shawnee Mission Pkwy,66205,Kansas City,4
"Kozeny & McCubbin, LC",http://www.km-law.com,,,Fairway,KS,Johnson,(913) 677-0253,,Bankruptcy,4220 Shawnee Mission Pkwy Ste 200,66205,Kansas City,2
Law Offices of Peter Jouras,http://www.jouraslaw.com,,,Fairway,KS,Johnson,(913) 677-1999,,Personal Injury,4330 Shawnee Mission Pkwy,66205,Kansas City,5
Mann Gordon Hussey LLC,http://www.mghfamilylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJh7DfmWvpwIcRgTJIPtp7uwM,,Fairway,KS,Johnson,(913) 534-8099,info@manntuckermuir.com,Criminal Defense,4400 Shawnee Mission Pkwy #204,66205,Kansas City,5
"Shapiro & Kreisman, LLC",,https://www.google.com/maps/place/?q=place_id:ChIJbUNz0WTuwIcRZgCQcBtlnEI,,Fairway,KS,Johnson,(913) 831-3000,,General,4220 Shawnee Mission Pkwy #418B,66205,Kansas City,4
"LifePlan Legal, LLC",,https://www.google.com/maps/place/?q=place_id:ChIJOWEszYWkwIcRflQQ6CvHO0A,,Gardner,KS,Johnson,(913) 703-4357,,General,29609 W 185th St,29609,Kansas City,4
The Law Office of Mark D Lewis,http://www.criminallawingardnerks.com/,https://www.google.com/maps/place/?q=place_id:ChIJtx3Q_m-jwIcRiTP2XukaHZw,,Gardner,KS,Johnson,(913) 856-6600,,Criminal Defense,212 E Main St,66030,Kansas City,5
"Vega Law Offices, LLC",http://www.vegalaw.com,https://www.google.com/maps/place/?q=place_id:ChIJP2MhspyjwIcR4hndn-vTeME,,Gardner,KS,Johnson,(913) 856-7596,,General,510 W Main St,66030,Kansas City,4
"Bingham, Larry J",,,,Lake Quivira,KS,Johnson,(913) 268-7080,,General,366 Lakeshore Dr W,66217,Kansas City,4
Arnett Law LC,https://www.arnettlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJu2uJQhzCwIcRzDspY2m-I1c,,Leawood,KS,Johnson,(913) 393-4429,jim@arnettlaw.com,Personal Injury,4901 W 136th St,66224,Kansas City,5
Bath & Edmonds,http://www.bathedmonds.com/,https://www.google.com/maps/place/?q=place_id:ChIJyzGBP3HswIcRSg50al0m8a4,,Leawood,KS,Johnson,(913) 652-9800,tom@bathedmonds.com,Criminal Defense,4000 W 114th St Suite 210,66211,Kansas City,5
"Berger Estate & Elder Law, PA",https://www.berger-lawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJcyV88CbqwIcRrqzW9qYKQdU,,Leawood,KS,Johnson,(913) 491-6332,,Estate Planning,11233 Nall Ave,11233,Kansas City,2
Business Law Group,https://kcbusinesslawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJMVxEpB3CwIcROCSDtUbSVas,,Leawood,KS,Johnson,(913) 225-8215,,Employment Law,4901 W 136th St #220,66224,Kansas City,3
Cloon Law Firm,http://lawyerserviceskansascityks.com,,,Leawood,KS,Johnson,(913) 624-9051,,General,11150 Overbrook Rd Ste 350,66211,Kansas City,4
Commercial Law Group,http://commerciallawgroup.net,,,Leawood,KS,Johnson,(913) 345-8855,,General,4901 College Blvd,66211,Kansas City,4
Cranmer Law Firm,http://www.cranmerlaw.com,,,Leawood,KS,Johnson,(913) 387-3185,,General,11115 Ash St,66211,Kansas City,4
DRZ Law,https://www.drzlawfirm.com/?utm_source=Google&utm_medium=GMB&utm_campaign=drzlawfirm&utm_id=DRZ+Law+Firm,https://www.google.com/maps/place/?q=place_id:ChIJjW-3Cd7owIcRJ9yl-jGmO-w,,Leawood,KS,Johnson,(913) 214-8606,,Business Law,8700 State Line Rd suite 305,66206,Kansas City,2
Davis Ketchmark McCreight & Ivers  Law practice,http://www.personalinjurylawkansascity.com,,,Leawood,KS,Johnson,(913) 381-7900,,General,11161 Overbrook Rd,66211,Kansas City,4
Debra Halluer Law Office,https://www.hallauerlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJB6uMIIbpwIcRgTIoQvzYF9s,,Leawood,KS,Johnson,(913) 345-0000,,Estate Planning,4707 College Blvd,66211,Kansas City,2
"Epstein Law Firm Kansas City, Johnson County",http://epsteinlawfirmkc.com/,https://www.google.com/maps/place/?q=place_id:ChIJi65XMBrCwIcRhhQcxQn21hU,,Leawood,KS,Johnson,(913) 396-5123,,Real Estate,4630 W 137th St #103,66224,Kansas City,2
Estate Planning - Heritage Law LLP,https://www.heritagelawkc.com/,https://www.google.com/maps/place/?q=place_id:ChIJW0f6Q03pwIcR7iKJ4r-yqPE,,Leawood,KS,Johnson,(913) 359-9513,emily@heritagelawkc.com,Estate Planning,8900 State Line Rd Suite #330,66206,Kansas City,2
Hasty Law Firm LLC.,https://www.hastylaw.com,,,Leawood,KS,Johnson,(816) 283-3535,,General,8700 State Line Rd Ste 115,66206,Kansas City,4
Holland Injury Law,https://www.stlinjury.lawyer/?npcmp=dir:local:5085061:63105,,,Leawood,KS,Johnson,(816) 897-5647,,Personal Injury,5300 College Blvd,66211,Kansas City,5
Jay T Grodsky Attorney At Law,http://www.jaygrodskykc.com,,,Leawood,KS,Johnson,(913) 232-2513,,General,11115 Ash St,66211,Kansas City,4
Jean W Wise Law Offices,http://www.kcfamilylaw.com,,,Leawood,KS,Johnson,(913) 345-9473,,General,4005 W 110th Ter,66211,Kansas City,4
KC Legacy Law,http://www.kclegacylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJLfV_jySVwIcR_ka--v_uwoU,,Leawood,KS,Johnson,(913) 228-3144,Attorney@KCLegacyLaw.com,Family Law,5440 W 110th St,66211,Kansas City,4
"Kincaid Law KC, LLC",https://kincaidlawkc.com/,https://www.google.com/maps/place/?q=place_id:ChIJ7yoUOiDqwIcRE-goajJVcsU,,Leawood,KS,Johnson,(913) 735-7707,,Employment Law,5251 W 116th Pl Suite 200,66211,Kansas City,3
Law Firm of Kevin Stuart Cavanaugh,https://www.cavlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJHWphGLnrwIcRPEDia7Fzupo,,Leawood,KS,Johnson,(913) 624-9547,,Medical Malpractice,4707 College Blvd Suite 208,66211,Kansas City,5
"Law Office Of Daniel E. Stuart, P.A.",http://stuartlaw.net/,https://www.google.com/maps/place/?q=place_id:ChIJ5V5hTE_pwIcREybLxU7m3SU,,Leawood,KS,Johnson,(913) 379-3300,,Personal Injury,4707 College Blvd Suite 208,66211,Kansas City,5
