law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
A & L Licker Law Firm,https://mobankruptcyblog.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_5IGoY-12IcRYJxua_WXDLE,,St. Louis,MO,St. Louis City,(314) 353-0834,,Personal Injury,3470 Hampton Ave #101,63139,St. Louis,5
"A Bankruptcy Law Firm, LLC | St. Louis Bankruptcy Lawyers",https://bensonlawfirms.com/,https://www.google.com/maps/place/?q=place_id:ChIJc6zp7D2z2IcRKeXL62UkNBM,,St. Louis,MO,St. Louis City,(866) 381-4442,,Personal Injury,1409 Washington Ave #401,63103,St. Louis,5
AKS Law Firm,https://www.aksbankruptcy.com/,https://www.google.com/maps/place/?q=place_id:ChIJH8CZ-Wa12IcRefojvaJvuwM,,St. Louis,MO,St. Louis City,(314) 740-2989,aksmithlaw@gmail.com,Bankruptcy,6334 Clayton Ave,63139,St. Louis,2
AMS Legal,http://www.amslegalstl.com/,https://www.google.com/maps/place/?q=place_id:ChIJ-7g_5ZSz2IcRD5IVwqdJ3k0,,St. Louis,MO,St. Louis City,(636) 675-0945,,Personal Injury,818 Lafayette Ave,63104,St. Louis,5
"Adam Notch Law, P.C.",https://www.notchlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_QrgKZ82zCsRgNXxsno1Rs0,,St. Louis,MO,St. Louis City,(314) 973-7250,,Personal Injury,6414 Hampton Ave Suite 206,63109,St. Louis,5
Akano Law Offices,http://www.akanolaw.com,,,St. Louis,MO,St. Louis City,(314) 932-5558,,General,5615 Pershing Ave,63112,St. Louis,4
Alexander Law Firm,https://alexanderlawfirmllc.com/,https://www.google.com/maps/place/?q=place_id:ChIJ6UxRrwiz2IcRsfUKk9sPpX0,,St. Louis,MO,St. Louis City,(314) 261-4111,,Social Security Disability,13314 Manchester Road,13314,St. Louis,1
"Amit Law Group, LLC",http://www.amitlawgroup.com,,,St. Louis,MO,St. Louis City,(314) 884-8007,,General,2734 Lafayette Ave,63104,St. Louis,4
Anderson & Gilbert Law,http://www.anderson-gilbert.com,,,St. Louis,MO,St. Louis City,(314) 721-2777,,Personal Injury,515 Olive St,63101,St. Louis,5
Andrew Hahn Law,http://www.andrewhahnlaw.com,,,St. Louis,MO,St. Louis City,(314) 941-5641,,Intellectual Property,4542 W Pine Blvd,63108,St. Louis,1
Anna E Haber,http://padbergcorrigan.com,,,St. Louis,MO,St. Louis City,(314) 621-2900,info@padberglaw.com,Personal Injury,1926 Chouteau Ave,63103,St. Louis,5
Anthony Pepe Law,http://www.anthonypepelaw.com,,,St. Louis,MO,St. Louis City,(314) 517-2067,anthony@anthonypepelaw.com,Personal Injury,5017 Washington Pl,63108,St. Louis,5
Anthony W Winker Law Office,http://www.winkerlaw.com,,,St. Louis,MO,St. Louis City,(314) 351-1500,,General,3627 Meramec St,63116,St. Louis,4
Apex Law Firm,https://www.apexlawmo.com/,https://www.google.com/maps/place/?q=place_id:ChIJcT4wXSW12IcRNRpbMx3vSTY,,St. Louis,MO,St. Louis City,(314) 301-9503,,General,4625 Lindell Blvd Suite 200,63108,St. Louis,4
"ArchCity Defenders, Inc.",http://www.archcitydefenders.org/,https://www.google.com/maps/place/?q=place_id:ChIJFQtee-Cy2IcRTS3v_pdWcbM,,St. Louis,MO,St. Louis City,(314) 361-8834,mail@archcitydefenders.org,Social Security Disability,5939 Goodfellow Blvd,63147,St. Louis,1
Attorney Douglas O'Neill,,,,St. Louis,MO,St. Louis City,(314) 481-4400,,General,4909 Hampton Ave,63109,St. Louis,4
Back Tax Help Lawyers,,,,St. Louis,MO,St. Louis City,(888) 661-0212,,General,4511 S Kingshighway Blvd Ste 314,63109,St. Louis,4
Baker Sterchi Cowden & Rice LLC,https://www.bakersterchi.com/,https://www.google.com/maps/place/?q=place_id:ChIJ4Um_rBCz2IcRKC7R8cKWq_g,,St. Louis,MO,St. Louis City,(314) 345-5000,benevides@bakersterchi.com,Personal Injury,100 S 4th St Suite 900,63102,St. Louis,5
Ballpark Village St. Louis,http://www.stlballparkvillage.com,,,St. Louis,MO,St. Louis City,(314) 345-9481,,Intellectual Property,601 Clark Ave,63102,St. Louis,1
Bankruptcy Center,http://www.bankruptcycenter.com,,,St. Louis,MO,St. Louis City,(314) 771-2889,,General,3827 Gustine Ave,63116,St. Louis,4
Bankruptcy Law Office,http://bankruptcyorg.com,,,St. Louis,MO,St. Louis City,(314) 421-3313,,General,1221 Locust St,63103,St. Louis,4
Banks Law,http://www.bankslawllc.com,,,St. Louis,MO,St. Louis City,(314) 583-7075,,General,308 N 21st St,63103,St. Louis,4
"Barrett & Farahany (Formerly Known As The Crone Law Firm, PLC)",https://cronelawfirmplc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,https://www.google.com/maps/place/?q=place_id:ChIJ7zhtLv-12IcRO6S-6yAC4xc,,St. Louis,MO,St. Louis City,(314) 208-2140,,Personal Injury,3115 S Grand Blvd Suite 100,63118,St. Louis,5
Beck Simmons Law Firm,http://www.jpbecklaw.com,,,St. Louis,MO,St. Louis City,(314) 772-2889,,Intellectual Property,3206 Shenandoah Ave,63104,St. Louis,1
Becker Joseph Wallpaper & Paint Co.,,,,St. Louis,MO,St. Louis City,(314) 533-0486,,General,2515 N Grand Blvd,63106,St. Louis,4
"Benbenek, Robert J",,,,St. Louis,MO,St. Louis City,(314) 394-1135,,General,13611 Barrett St,63107,St. Louis,4
"Border Crossing Law Offices, P.C.",http://www.bordercrossinglaw.com,,,St. Louis,MO,St. Louis City,(314) 435-9866,,Immigration,3649 Humphrey St,63116,St. Louis,2
Bouhasin Law Firm,http://bouhasinlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJIVE2G6e12IcRSSvHJ8VsRR4,,St. Louis,MO,St. Louis City,(314) 832-9600,bouhasinlaw@gmail.com,Personal Injury,5205 Hampton Ave,63109,St. Louis,5
Bradley Law Personal Injury Lawyers,https://thebradleylawfirm.com/st-louis-personal-injury-lawyer/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb&utm_term=stl,https://www.google.com/maps/place/?q=place_id:ChIJEWPIYj2z2IcRwavqDsWYse8,,St. Louis,MO,St. Louis City,(314) 748-1355,info@thebradleylawfirm.com,Personal Injury,1430 Washington Ave Ste 226,63103,St. Louis,5
Brickhouse Law Group,,,,St. Louis,MO,St. Louis City,(314) 932-1070,,General,1006 Olive St,63101,St. Louis,4
Bright Bankruptcy Firm,http://www.brightbk.com/st-louis-bankruptcy-attorney/,,,St. Louis,MO,St. Louis City,(314) 380-5200,,General,100 S 4th St #500,63102,St. Louis,4
Brown & Brown,https://www.brownlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJoaaxlx2z2IcRprUMXbjzvXQ,,St. Louis,MO,St. Louis City,(314) 333-3333,,Personal Injury,1 Memorial Dr 11th Floor,63102,St. Louis,5
Brown & Crouppen,https://www.brownandcrouppen.com/st-louis/?utm_source=google&utm_medium=organic&utm_campaign=gbp-stlouis,https://www.google.com/maps/place/?q=place_id:ChIJrzg3jx6z2IcRRv4YdG1PCrk,,St. Louis,MO,St. Louis City,(314) 260-1630,,Personal Injury,4900 Daggett Ave,63110,St. Louis,5
"Brown & James, P.C.",http://www.brownjames.com/,https://www.google.com/maps/place/?q=place_id:ChIJ4Um_rBCz2IcRoFZzvzuSDdY,,St. Louis,MO,St. Louis City,(314) 421-3400,,General,800 Market St Ste 1100,63101,St. Louis,4
"Bryan J. Sanger, Esq",https://www.mandelmandel.com/about/attorneys/bryan-sanger/,https://www.google.com/maps/place/?q=place_id:ChIJfZoSKxiz2IcRpXzC0a3jJVM,,St. Louis,MO,St. Louis City,(314) 621-1701,,Personal Injury,1010 Market St Ste 850,63101,St. Louis,5
Burger Law,https://burgerlaw.com/personal-injury-lawyer-st-louis,,,St. Louis,MO,St. Louis City,(314) 542-2222,info@mccreadylaw.com,Personal Injury,500 N Broadway #1860,63102,St. Louis,5
Business Tax Relief Lawyers,,,,St. Louis,MO,St. Louis City,(888) 661-0214,,General,"2808 Sulphur Avenue, Suite 39",63139,St. Louis,4
CG Immigration Law,https://www.cgimmigrationlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJo7mMj3W02IcRBkgf82GsS8w,,St. Louis,MO,St. Louis City,(314) 514-4248,,Immigration,2714 Cherokee St,63118,St. Louis,2
Cady Michael T Attorney at Law,,,,St. Louis,MO,St. Louis City,(314) 241-2308,,General,1015 Locust St,63101,St. Louis,4
Campbell Law LLC,http://www.campbelllawllc.com,,,St. Louis,MO,St. Louis City,(314) 588-8101,contact@campbelllawllc.com,Tax Law,911 Washington Ave Ste 205,63101,St. Louis,1
Carter Law Firm LLC,http://www.carterfirm.law/,https://www.google.com/maps/place/?q=place_id:ChIJz51Ao3W02IcRIuudlFdrGmM,,St. Louis,MO,St. Louis City,(314) 675-1350,,Employment Law,3407 S Jefferson Ave #109,63118,St. Louis,3
Casey & Devoti,http://www.caseydevoti.com/,https://www.google.com/maps/place/?q=place_id:ChIJ53vQRRyz2IcR9_bIvBdYlog,,St. Louis,MO,St. Louis City,(314) 421-0763,info@caseydevoti.com,Personal Injury,5100 Daggett Ave,63110,St. Louis,5
Coffey & Nichols Trial Lawyers,https://www.coffeynichols.com,,,St. Louis,MO,St. Louis City,(314) 647-0033,mc@coffeynichols.com,Personal Injury,6200 Columbia Ave,63139,St. Louis,5
Copa Project of Laaw,,,,St. Louis,MO,St. Louis City,(314) 621-9406,,General,10 N Tucker Blvd,63101,St. Louis,4
"Craig, Kelley and Faultless LLC",https://www.ckflaw.com/st-louis/?utm_source=local&utm_medium=organic&utm_campaign=stlouisgmb,https://www.google.com/maps/place/?q=place_id:ChIJY7dXYFW12IcR_jbkKotuA4c,,St. Louis,MO,St. Louis City,(314) 500-0378,,Personal Injury,5585 Pershing Ave Suite 110,63112,St. Louis,5
Custom Paint Works STL,https://www.custompaintworksstl.com,,,St. Louis,MO,St. Louis City,(314) 885-0640,,General,2900 N Prairie Ave,63107,St. Louis,4
DM Injury Law St. Louis,https://www.dmlawusa.com/st-louis/?utm_source=GMB&utm_medium=organic&utm_campaign=stlouis,https://www.google.com/maps/place/?q=place_id:ChIJT9V1hRSz2IcR8GRDxCR5zJE,,St. Louis,MO,St. Louis City,(314) 300-0314,,Personal Injury,900 Spruce St Suite 150,63102,St. Louis,5
"Dale Funk and Associates, LLC",http://www.getfunk.com/,https://www.google.com/maps/place/?q=place_id:ChIJPRmsHoiz2IcRLXovH2X1ctQ,,St. Louis,MO,St. Louis City,(314) 438-3865,,Personal Injury,3024 S Jefferson Ave,63118,St. Louis,5
Deeba Sauter Herd,http://www.avvo.com/attorneys/63139-mo-james-sauter-1879611.html,,,St. Louis,MO,St. Louis City,(314) 768-6980,,General,3415 Hampton Ave,63139,St. Louis,4
Dennis Law Firm,https://rymap.org/business/dennis-law-firm-azahxb,https://www.google.com/maps/place/?q=place_id:ChIJT7pPSzO12IcRBQB649gzJXY,,St. Louis,MO,St. Louis City,(314) 371-7300,,General,5340 Delmar Blvd # 101,63112,St. Louis,4
"Donner Applewhite, Attorneys at Law",http://www.da-lawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJU-3pJQC12IcRvCzvX0HArsg,,St. Louis,MO,St. Louis City,(314) 678-1176,,Personal Injury,5205 Hampton Ave,63109,St. Louis,5
Doskocil Law Firm,https://www.doskocillaw.com,,,St. Louis,MO,St. Louis City,(314) 920-2634,,Criminal Defense,3407 S Jefferson Ave,63118,St. Louis,5
Duncan Law,http://www.duncanlawstl.com,,,St. Louis,MO,St. Louis City,(314) 328-8987,,General,1409 Washington Ave,63103,St. Louis,4
E & K Truck Service,,,,St. Louis,MO,St. Louis City,(314) 481-5101,,General,5206 S 38th St,63116,St. Louis,4
Eisenhauer Law,https://www.philipeisenhauer.com,,,St. Louis,MO,St. Louis City,(314) 378-1149,,Personal Injury,1015 Locust St,63101,St. Louis,5
Eugene Fahrenkrog Attorney,http://www.eugenefahrenkrog.com,,,St. Louis,MO,St. Louis City,(314) 241-4567,,General,911 Washington Ave,63101,St. Louis,4
"Evans & Dixon, LLC",https://www.evans-dixon.com/,https://www.google.com/maps/place/?q=place_id:ChIJ5YP1tEvC2IcRQGO3tHRn-Ek,,St. Louis,MO,St. Louis City,(314) 621-7755,contact@evans-dixon.com,Workers' Compensation,211 N Broadway Ste 2500,63102,St. Louis,5
Fernandez Law,https://stltriallawyers.com/,https://www.google.com/maps/place/?q=place_id:ChIJrwupTEOz2IcRasqp_kCxMSI,,St. Louis,MO,St. Louis City,(314) 433-9131,,Personal Injury,701 Market St Suite 1425,63101,St. Louis,5
Finley Law Firm,http://www.thefinleylawfirm.com,,,St. Louis,MO,St. Louis City,(314) 664-5500,,Estate Planning,3801 Connecticut St,63116,St. Louis,2
Firm Foundation Tutoring Prgm,http://www.restorestlouis.org/tutoring,,,St. Louis,MO,St. Louis City,(314) 726-2302,,Social Security Disability,1142 Hodiamont Ave,63112,St. Louis,1
Firmenich,http://www.firmenich.com,,,St. Louis,MO,St. Louis City,(314) 241-1025,,Social Security Disability,411 Gano Ave,63147,St. Louis,1
