law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
OZARKS LEGALSERVE LLC,,https://www.google.com/maps/place/?q=place_id:ChIJVVX-6Fh4xYcRlZKs1EpZ468,,Fair Grove,MO,Greene,(417) 766-6648,,General,704 N Ranch Rd,65648,Springfield,4
Brown Andrew T,,,,Republic,MO,Greene,(417) 732-4045,,General,125 W State Highway 174,65738,Springfield,4
Law Offices of Anissa Bluebaum,http://www.bluebaumlaw.com,,,Republic,MO,Greene,(417) 732-4502,,Personal Injury,600 E Elm St,65738,Springfield,5
Ozarks Elder Law,https://ozarkselderlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ-Unq7Mxdz4cRI6EpK9Fs8Ls,,Republic,MO,Greene,(417) 868-8200,,Personal Injury,255 U.S. Hwy 60 W,65738,Springfield,5
Ozarks Legacy Law,https://www.ozarkslegacylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJs6ptL7Bdz4cR08rzP2sW7Qc,,Republic,MO,Greene,(417) 233-5858,info@ozarkslegacylaw.com,Family Law,746 US-60,65738,Springfield,4
"Aaron Sachs & Associates, P.C.",https://www.autoinjury.com/,https://www.google.com/maps/place/?q=place_id:ChIJhyDMJWV7z4cRaWeqVhwL8fw,,Springfield,MO,Greene,(417) 889-1400,,Personal Injury,3271 E Battlefield Rd #350,65804,Springfield,5
Adair David R,https://www.swmolawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJudNUw7N8z4cRyXhlNOAPFi8,,Springfield,MO,Greene,(417) 883-5535,swmo@swmolawfirm.com,Personal Injury,2135 E Sunshine St # 203,65804,Springfield,5
Affordable Legal Services,https://www.affordablelegalservicesllc.com/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,https://www.google.com/maps/place/?q=place_id:ChIJaf7cGdtlz4cRij_4zLLUT7c,,Springfield,MO,Greene,(417) 895-9501,,General,1546 E Bradford Pkwy,65804,Springfield,4
Akre Law,http://www.akrelaw.com,,,Springfield,MO,Greene,(417) 833-8196,,General,901 E Saint Louis St,65806,Springfield,4
Allen G Rose Law Offices PC,,https://www.google.com/maps/place/?q=place_id:ChIJc4s9TUx9z4cRSGYIXWLIHng,,Springfield,MO,Greene,(417) 831-6499,,General,2032 E Kearney St # 113,65803,Springfield,4
Assertion Law Firm LLC and 417 Business & Elder Law,https://assertionlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJv-nYZrt8z4cRvhEYlj4jesI,,Springfield,MO,Greene,(888) 887-4170,,Medical Malpractice,4905 S National Ave Suite A112,65810,Springfield,5
Asset & Elder Law Solutions,http://jljonesandco.com,,,Springfield,MO,Greene,(417) 881-7711,jljones@assetandelderlawsolutions.com,Personal Injury,2627 W Republic Rd,65807,Springfield,5
Bard Legal LLC,https://bardlegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJcU514RJxz4cRoVGB20hUqfc,,Springfield,MO,Greene,(417) 831-5299,,Criminal Defense,2814 E Sunshine St Suite A,65804,Springfield,5
Brad Bradshaw M.D. J.D. L.C.,http://www.bradbradshaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9SxLnU5jz4cRsoGdqwHKnlE,,Springfield,MO,Greene,(417) 333-3333,,Personal Injury,300 S John Q Hammons Pkwy Suite 700,65806,Springfield,5
Callahan Law Firm,http://www.coloradoonlinewill.com,,,Springfield,MO,Greene,(417) 987-1077,,General,3128 S Pinehurst Ave,65807,Springfield,4
Cantin Mynarich LLC,https://www.cantinmynarich.com/,https://www.google.com/maps/place/?q=place_id:ChIJY7fGwWZjz4cRBQbilJuET38,,Springfield,MO,Greene,(417) 831-6363,,General,2560 S Glenstone Ave ste c,65804,Springfield,4
Carnahan Evans PC,http://www.carnahanevans.com/,https://www.google.com/maps/place/?q=place_id:ChIJkxLTQ3t7z4cRjJBVIx2MV4Y,,Springfield,MO,Greene,(417) 447-4400,info@carnahanevans.com,Employment Law,2805 S Ingram Mill Rd,65804,Springfield,3
"Catt, Cole & Martin Attorneys At law",http://www.cattcolemartin.com,,,Springfield,MO,Greene,(417) 887-1155,,General,1200 E Woodhurst Dr Ste C,65804,Springfield,4
Childers Law Office,http://legalfirmsspringfield.com,,,Springfield,MO,Greene,(417) 986-1502,,General,1304 E Woodhurst Dr Ste A,65804,Springfield,4
Christopher A. Hazelrigg,https://www.christopherhazelrigglaw.com,,,Springfield,MO,Greene,(417) 881-0800,,General,2101 W Chesterfield Blvd Ste A202,65807,Springfield,4
Clapp Business Law,http://www.clappbusinesslaw.com,,,Springfield,MO,Greene,(417) 851-5386,,General,2518 S Campbell Ave,65807,Springfield,4
Clough Law Firm,http://www.sims-law.com,,,Springfield,MO,Greene,(417) 883-4848,,General,1041 E Walnut St,65806,Springfield,4
"Cole & Martin Attorneys at Law, LLC",https://www.coleandmartin.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_VKXbKNkz4cRrU6fQxW0XVo,,Springfield,MO,Greene,(417) 213-5441,,Criminal Defense,1411 E Primrose St Suite F,65804,Springfield,5
Collins Law Firm,http://www.montgomerylaw.org,,,Springfield,MO,Greene,(417) 866-2600,Scott@montgomerylaw.org,Personal Injury,901 E Saint Louis St,65806,Springfield,5
Collins Law Offices,http://springfieldmoattorneyatlaw.com,,,Springfield,MO,Greene,(417) 812-6819,,General,325 South Ave,65806,Springfield,4
Corbett Law Firm,http://www.corbettlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJ04uSECt9z4cRm2f_A5Mm8go,,Springfield,MO,Greene,(800) 866-6420,,Personal Injury,2015 E Phelps St,65802,Springfield,5
"Courtney & Mills, LLC",http://www.courtneyandmills.com/,https://www.google.com/maps/place/?q=place_id:ChIJczzzhuRiz4cRPc0buEieqPw,,Springfield,MO,Greene,(417) 869-9888,,Personal Injury,725 W Battlefield Rd a,65807,Springfield,5
Curran Law Firm,http://www.curranlawfirm.com,,,Springfield,MO,Greene,(417) 823-7500,,General,3516 S National Ave,65807,Springfield,4
Dan Menzie Law Offices,,,,Springfield,MO,Greene,(417) 831-9130,,General,901 E Saint Louis St,65806,Springfield,4
Daniel Powell Wesley & Brewer,http://www.dspowelldavis.com,https://www.google.com/maps/place/?q=place_id:ChIJD_1XyR9jz4cRVDgYyssK--k,,Springfield,MO,Greene,(417) 864-4500,,General,300 S John Q Hammons Pkwy #600,65806,Springfield,4
David Schroeder Law Offices PC,,,,Springfield,MO,Greene,(417) 890-1000,,General,1524 E Primrose St,65804,Springfield,4
Dean Price Law,https://www.deanpricelaw.com,,,Springfield,MO,Greene,(417) 865-2181,,Criminal Defense,1125 N Boonville Ave,65802,Springfield,5
"Donelan Law, LLC",https://www.donelanlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ7YVmhaVjz4cR71EajkKWDXc,,Springfield,MO,Greene,(417) 242-6262,contact@donelanlaw.com,Personal Injury,1655 S Enterprise Ave # A1,65804,Springfield,5
Douglas A Parker Attorney Law Firm Naell mawnan,,,,Springfield,MO,Greene,(417) 882-9090,,General,1949 E Sunshine St,65804,Springfield,4
