law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
"A & L, Licker Law Firm",http://www.lickerlawfirm.com,,,Green Park,MO,St. Louis,(636) 916-0950,documents@lickerlawfirm.com,Bankruptcy,7321 S Lindbergh Blvd,63125,St. Louis,2
"A Bankruptcy Law Firm, LLC | South County Bankruptcy Lawyers",https://bensonlawfirms.com/,https://www.google.com/maps/place/?q=place_id:ChIJcZKvWV7I2IcR4IoRW1N968E,,Green Park,MO,St. Louis,(866) 381-4442,,Personal Injury,4121 Union Rd Suite 221,63129,St. Louis,5
A. G. Laramore LLC,,,,Mehlville,MO,St. Louis,(314) 241-0999,,General,"10024 Office Center Ave, Ste 202",63128,St. Louis,4
Affinity Law Group LLC,http://www.affinitylawgrp.com/,https://www.google.com/maps/place/?q=place_id:ChIJBwd_W1rN2IcR0-P8CIdCnbY,,Town and Country,MO,St. Louis,(314) 872-3333,kbilderback@sandbergphoenix.com,Employment Law,1610 Des Peres Rd,63131,St. Louis,3
All American Towing LLC,,,,University City,MO,St. Louis,(314) 726-1122,,General,6400 Spencer Ave,63133,St. Louis,4
Allison F. Stenger P.C.,https://www.lawsaintlouis.com/?utm_source=google&utm_medium=local,https://www.google.com/maps/place/?q=place_id:ChIJ0ziqYezK2IcR5MCVajh3qJY,,Olivette,MO,St. Louis,(314) 863-1117,,Personal Injury,1125 Olivette Executive Pkwy #120,63132,St. Louis,5
Alternative Agreements,https://consideringdivorce.com/,https://www.google.com/maps/place/?q=place_id:ChIJ5x91HEo134cRbEf-uCuQUuQ,,University City,MO,St. Louis,(314) 862-0202,,Family Law,7101 Delmar Blvd,63130,St. Louis,4
"Amato Family Law, LLC",http://amatofamilylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJB2mkHNbK2IcRkoZjg5m5nIA,,Clayton,MO,St. Louis,(314) 727-7122,,Family Law,230 S Bemiston Ave,63105,St. Louis,4
"American Fire Sprinklers, LLC",http://www.americansprinklers.biz,,,Affton,MO,St. Louis,(314) 416-8788,,General,10987 Lin Valle Dr,63123,St. Louis,4
Amy Bender-Levy,https://www.pcblawfirm.com/?utm_source=gbp&utm_medium=organic&utm_campaign=st-louis-mo,https://www.google.com/maps/place/?q=place_id:ChIJH8NzGNU034cROOwZrWaqskI,,Clayton,MO,St. Louis,(314) 727-2266,,Family Law,165 N Meramec Ave # 110,63105,St. Louis,4
Anderson Legal Group LLC,http://www.andersonlegal.us/,https://www.google.com/maps/place/?q=place_id:ChIJuQO5AHLT2IcRJrTV2Sd3CZI,,Ballwin,MO,St. Louis,(314) 526-1377,David@AndersonLegal.us,Personal Injury,930 Kehrs Mill Rd #214,63011,St. Louis,5
Aranda Law Firm,https://arandalaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJx62_ABrL2IcRpCrNrMQKJqw,,Clayton,MO,St. Louis,(314) 665-3678,ben@arandalaw.com,Family Law,225 S Meramec Ave Apt 325,63105,St. Louis,4
Archer Law Firm LLC,http://www.mikearcherlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJk1Cthv7H2IcRqEVt3n9IiGo,,Green Park,MO,St. Louis,(314) 200-6664,mike@mikearcherlawfirm.com,Personal Injury,4500 Telegraph Rd Ste 106 Suite 106,63129,St. Louis,5
Armstrong Teasdale LLP,http://www.armstrongteasdale.com/,https://www.google.com/maps/place/?q=place_id:ChIJc9DYiB6z2IcRs8AHFBnp6Iw,,Clayton,MO,St. Louis,(314) 621-5070,,Criminal Defense,7700 Forsyth Blvd,63105,St. Louis,5
Avery Injury Law,https://www.averyinjurylaw.com,,,Sunset Hills,MO,St. Louis,(314) 549-5600,,Personal Injury,11878 Gravois Rd,63127,St. Louis,5
Avioli Law PC,https://www.aviolilaw.com,,,Webster Groves,MO,St. Louis,(314) 551-2530,m.avioli@aviolilaw.com,Criminal Defense,144 W Lockwood Ave,63119,St. Louis,5
Bajric & Ramic Law Office,https://brlegal.net/?utm_source=gmb&utm_medium=organic&utm_content=listing&utm_campaign=local,https://www.google.com/maps/place/?q=place_id:ChIJexK_mNq12IcRMbfM2GAE-mo,,Green Park,MO,St. Louis,(314) 352-6800,,Personal Injury,3245 Lemay Ferry Rd,63125,St. Louis,5
Bamvakais Michael R,http://dbopc.com/,https://www.google.com/maps/place/?q=place_id:ChIJlzEaO5nJ2IcRN-AOyHjFfbU,,Affton,MO,St. Louis,(314) 631-0200,,General,9939 Gravois Rd,63123,St. Louis,4
"Bardol Law Firm, LLC - Family Law Attorneys",https://bardollaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJHb0oPZTL2IcRXnzXWu0W8zc,,Webster Groves,MO,St. Louis,(314) 648-3709,info@bardollaw.com,Family Law,34 N Gore Ave Suite 203,63119,St. Louis,4
Baylard Billington & Dempsey,https://bbd-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJb4bzTmgo2YcR3ssegPn47n0,,Fenton,MO,St. Louis,(636) 938-6500,,Social Security Disability,,63025,St. Louis,1
Beck & Beck Missouri Car Accident Lawyers,https://becklawmo.com/st-louis-mo-car-accident-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gbp_brentwood,https://www.google.com/maps/place/?q=place_id:ChIJm-iRwdTK2IcR5ILcDFlTIlM,,Brentwood,MO,St. Louis,(314) 207-9996,,Personal Injury,8770 Rose Ave,63144,St. Louis,5
Beckemeier LeMoine Law,https://www.beckemeierlemoine.com,,,Town and Country,MO,St. Louis,(314) 965-2277,,Family Law,13421 Manchester Rd Ste 103,63131,St. Louis,4
"Bell, Stephen G - Stephen Bell Law Offices",,,,Kirkwood,MO,St. Louis,(314) 821-8212,,General,450 George Ave,63122,St. Louis,4
"Bender & Company CPAs, PC",http://www.bendercpa.com,,,Mehlville,MO,St. Louis,(314) 525-7125,,Bankruptcy,13014 Butler Crest Dr,63128,St. Louis,2
"Berkowitz, Ira M",,https://www.google.com/maps/place/?q=place_id:ChIJtajhUqhK34cR3xr12ltKI-I,,University City,MO,St. Louis,(314) 725-9696,,General,500 Skinker Blvd,63130,St. Louis,4
