law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
"Dunn, Bill",,https://www.google.com/maps/place/?q=place_id:ChIJBXWHN-OPwIcR8BOHSC2kuXM,,Bonner Springs,KS,Wyandotte,(913) 422-8677,,General,135 Oak St,66012,Kansas City,4
Perry Trent,http://www.perrytrent.com,,,Bonner Springs,KS,Wyandotte,(913) 441-3411,,Family Law,13100 Kansas Ave,66012,Kansas City,4
"Beam-Ward, Kruse, Wilson, & Fletes, LLC",http://www.bkwflaw.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,913-431-3579,bkwf@bkwflaw.com,Personal Injury,,,Kansas City,5
Carter Law Offices,http://www.carterlaw.org,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,816-462-4821,,Personal Injury,,,Kansas City,5
"Cavanaugh, Biggs & Lemon, P.A.",http://www.cavlem.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,785-588-5991,,Intellectual Property,,,Kansas City,1
Colgan Law Firm LLC,https://www.colganlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJczQ40MiOwIcR9NKdBHCASyQ,,Kansas City,KS,Wyandotte,(913) 721-9999,,Personal Injury,11006 Parallel Pkwy # 202,11006,Kansas City,5
Crow & Associates,http://www.crowlegal.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,913-828-4672,,Personal Injury,,,Kansas City,5
"Don Peterson Law, LLC",http://www.donpetersonlawyer.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,913-431-3675,,Personal Injury,,,Kansas City,5
"Evans & Mullinix, P.A.",http://www.emlawkc.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,913-431-3653,,Personal Injury,,,Kansas City,5
"Hart Law Company, P.C.",https://www.hartlawcompany.com/,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,913-363-9525,,Estate Planning,,,Kansas City,2
"Henson, Hutton, Mudrick & Gragson, LLP",http://www.hensonlawoffice.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,785-940-5007,,Family Law,,,Kansas City,4
"Hetley Law Firm, P.A.",https://www.hetleylaw.com/,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,913-600-5019,,Business Law,,,Kansas City,2
"Law Offices of H. Reed Walker, P.A.",http://www.reed-walker.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,816-631-2621,,Family Law,,,Kansas City,4
Law Office of Jay H Vader and Stanley R McAfee,https://111things.com/law/legal-services-law-office-of-jay-h-vader-and-stanley-r-mcafee-1300-n-78th-st-g01-kansas-city-ks-66112-4/,https://www.google.com/maps/place/?q=place_id:ChIJYTR92fKMwIcRMKrmYdof2U4,,Kansas City,KS,Wyandotte,(913) 334-4800,,General,2300 Hutton Rd #111,66109,Kansas City,4
"Matteuzzi Law, P.C.",http://www.ma2zlaw.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,913-399-2513,mmatteuzzi@ma2zlaw.com,Personal Injury,,,Kansas City,5
"Matthew Wideman Attorney-at-Law, LLC",https://mattwidemanlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJddHASDXxwIcRlHLCpS8C1Y8,,Kansas City,KS,Wyandotte,(913) 391-4458,,Personal Injury,831 Armstrong Ave,66101,Kansas City,5
"McAnany, Van Cleave & Phillips, P.A.",http://www.mvplaw.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,913-399-1359,,Workers' Compensation,,,Kansas City,5
Michael C. Hunter Attorney at Law,https://kccounselor.com,,,Kansas City,KS,Wyandotte,(913) 732-3234,mhunter@kccounselor.com,Criminal Defense,"115 E. Park St., Suite C.",66101,Kansas City,5
"Morrow Willnauer Church, LLC",https://www.mwcattorneys.com,,https://www.martindale.com/by-location/kansas-lawyers/,Kansas City,KS,Wyandotte,816-631-6501,sjenkins@mwcattorneys.com,Personal Injury,,,Kansas City,5
