law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Abby Lynn Warshowsky,,,,,TX,Cameron,956-536-0705,,Immigration,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Adam David Rodriguez,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Adrien M. Lewis,,,,,TX,Cameron,,,Criminal Defense,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
Anastasia Norcross,,,,,TX,Cameron,,,Immigration,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Andres Pacheco,,,,,TX,Cameron,956-545-4050,,Estate Planning,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Andrew Joshua Garcia,,,,,TX,Cameron,,,Personal Injury,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
Angela Marie Cisneros,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Anna Cecilia Gonzalez,,,,,TX,Cameron,956-621-2966,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
"Buitrón Law Group, PLLC.",,,,,TX,Cameron,956-314-0872,,Estate Planning,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Caelan Justice Mitchell-Bennett,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Carlo H. Tamayo,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Carlos A. Rodriguez,,,,,TX,Cameron,,,Immigration,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
"Clerkin, Sinclair & Mahfouz LLP",,,,,TX,Cameron,,,Personal Injury,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
Daniel Lee Berardicurti,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Demetria Marjorie Poulos,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Goverment Attorney,,,,,TX,Cameron,956-547-1700,,Immigration,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Government Attorney,,,,,TX,Cameron,956-547-1700,,Immigration,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Ivana Sophia Besteiro,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Jaqueline Obregon,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Jasmine Cristina Silva,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
John C. Wren,,,,,TX,Cameron,,,Personal Injury,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
Joshua C. Salazar,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Joshua Duane H. Neece,,,,,TX,Cameron,956-544-4321,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Julissa Esquivel,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Justin Robert Katusak,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Clinton J. Smith,,,,,TX,Cameron,817-823-1589,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Monica Barron Auger,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Lone Star Defender's Office,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Luis Enrique Gutierrez,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Mariana Alvarez,,,,,TX,Cameron,,,Immigration,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Meghan K. Monahan,,,,,TX,Cameron,,,Immigration,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Morris Iheanacho Onyewuchi,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Nancy Iris Escaname,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Natalia Magdalena De La Garza,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Nurith Galonsky,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Paloma Celeste Flores,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Paola Garcia,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
R. Francisco Lozano,,,,,TX,Cameron,,,Criminal Defense,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
"Randolph W. Stout, P.C.",,,,,TX,Cameron,940-535-5748,,Real Estate,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Robert L. Guerra,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Robert Luis Perez,,,,,TX,Cameron,,,Personal Injury,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
Roberto Garcia PC,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Rod Wolthoff,,,,,TX,Cameron,,,Immigration,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
The Bodden Law Firm,https://btxlaw.com/,,,,TX,Cameron,,,Personal Injury,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
"The Law Office of Juanita ""Janie"" Jaimez PLLC",https://www.jaimezlaw.com/,,,,TX,Cameron,956-793-5033,j.jaimezlaw@gmail.com,Criminal Defense,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
Timothy Mark Sampeck,,,,,TX,Cameron,,,Bankruptcy,,,Brownsville-Harlingen,2,1,2026-09-13,State Bar of Texas Member Directory
Troy David Anderson,,,,,TX,Cameron,,,General,,,Brownsville-Harlingen,4,1,2026-09-13,State Bar of Texas Member Directory
Valerie Marie Martin Garcia,,,,,TX,Cameron,956-778-9119,,Criminal Defense,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
"Virginia Longoria, Attorney",,,,,TX,Cameron,,,Criminal Defense,,,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
"Aguilar & Zabarte, LLC",,,,Brownsville,TX,Cameron,956-504-1100,,Personal Injury,990 Marine Dr,78520,Brownsville-Harlingen,5,2,2026-09-13,State Bar of Texas Member Directory
Aguirre Law Group,,,,Brownsville,TX,Cameron,956-548-2230,,Criminal Defense,811 E. Madison St.,78520,Brownsville-Harlingen,5,1,2026-09-13,State Bar of Texas Member Directory
