law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,source,date_pulled
Legacy Legal LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=28710,Wichita,KS,Sedgwick,(316) 202-2067,,General,"8100 E. 22nd St N, Ste 1400-2",67226,Wichita,2,2,KS Courts Registry,2026-08-17
Gibson Watson Marino LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27253,Wichita,KS,Sedgwick,(316) 264-7321,,General,301 N Main St Ste 1300,67202,Wichita,2,7,KS Courts Registry,2026-08-17
Stange Law Firm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30661,Wichita,KS,Sedgwick,(316) 202-2041,,General,"2024 N. Woodlawn, Ste 407",67208,Wichita,2,2,KS Courts Registry,2026-08-17
"Agnew Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30430,Wichita,KS,Sedgwick,(316) 202-4003,,General,"3201 E Douglas Ave, Suite 102",67218,Wichita,2,1,KS Courts Registry,2026-08-17
"Triplett Woolf Garretson, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30740,Wichita,KS,Sedgwick,(316) 630-8100,,General,"2959 N. Rock Rd, Ste 300",67226,Wichita,2,23,KS Courts Registry,2026-08-17
King Brennan & Albin LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14892,Wichita,KS,Sedgwick,(316) 263-0505,,General,833 N Waco,67203,Wichita,2,5,KS Courts Registry,2026-08-17
Adams Jones Law Firm,https://www.adamsjones.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=26296,Wichita,KS,Sedgwick,(316) 265-8591,,Estate Planning,1635 N Waterfront Pkwy Ste 200,67206,Wichita,2,8,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
Martin Pringle Oliver Wallace & Bauer L.L.P.,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30549,Wichita,KS,Sedgwick,(316) 265-9311,,General,"645 E. Douglas, Ste 100",67202,Wichita,2,3,KS Courts Registry,2026-08-17
DeVaughn James Injury Lawyers,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27786,Wichita,KS,Sedgwick,(316) 977-9999,,General,3241 N Toben St,67226,Wichita,2,26,KS Courts Registry,2026-08-17
"Slape & Howard, Chtd",https://www.slapehoward.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=30344,Wichita,KS,Sedgwick,(316) 262-3445,flags@2x.png,Personal Injury,117 N Handley,67203,Wichita,5,4,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
Geoffrey B Amend PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17141,Wichita,KS,Sedgwick,(316) 204-4105,,General,7607 Magill,67206,Wichita,2,1,KS Courts Registry,2026-08-17
Fleeson Gooing Coulson & Kitch LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30415,Wichita,KS,Sedgwick,(316) 267-7361,,General,1900 Epic Center 301 N Main St,67202,Wichita,2,13,KS Courts Registry,2026-08-17
Foulston Siefkin LLP,,,https://directory-kard.kscourts.gov/Home/Details?regNum=6450,Wichita,KS,Sedgwick,(316) 291-9532,,General,1551 N Waterfront Pkwy #100,67206,Wichita,2,48,KS Courts Registry,2026-08-17
Riedmiller Andersen & Scott LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12552,Wichita,KS,Sedgwick,(316) 263-0001,,General,532 N. Market St,67214,Wichita,2,3,KS Courts Registry,2026-08-17
Law Office of Gregory Alan Andersen,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13562,Wichita,KS,Sedgwick,(316) 833-9685,,General,14714 E Siefkes St,67230,Wichita,2,1,KS Courts Registry,2026-08-17
Sedgwick County District Attorney’s Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=23689,Wichita,KS,Sedgwick,(316) 660-3634,,General,"525 N. Main St, Ste 235",67203,Wichita,2,18,KS Courts Registry,2026-08-17
"Cristy L. Anderson, Esq",,,https://directory-kard.kscourts.gov/Home/Details?regNum=20729,Wichita,KS,Sedgwick,(316) 204-9202,,General,3409 W Bayview St,67204,Wichita,2,1,KS Courts Registry,2026-08-17
Morris Laing Evans Brock & Kennedy,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12209,Wichita,KS,Sedgwick,(316) 262-2671,,General,"300 N. Mead, Ste 200",67202-2722,Wichita,2,10,KS Courts Registry,2026-08-17
Sedgwick County Counselor's Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=26095,Wichita,KS,Sedgwick,(316) 660-9340,,General,100 N Broadway St Ste 650,67202,Wichita,2,2,KS Courts Registry,2026-08-17
"Penner Lowe Law Group, LLC",https://www.pennerlowe.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=27617,Wichita,KS,Sedgwick,(316) 847-8847,18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,Family Law,"245 North Waco Street, Ste 125",67202,Wichita,4,9,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
Barry Arbuckle Attorney at Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=7227,Wichita,KS,Sedgwick,(316) 371-7597,,General,5565 N. St Clair,67204,Wichita,2,1,KS Courts Registry,2026-08-17
Bever Dye LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8170,Wichita,KS,Sedgwick,(316) 263-8294,,General,301 North Main Ste 600,67202-4806,Wichita,2,4,KS Courts Registry,2026-08-17
Hinkle Law Firm LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=21736,Wichita,KS,Sedgwick,(316) 267-2000,,General,"1617 N. Waterfront Pkwy, Ste 400",67206-6639,Wichita,2,25,KS Courts Registry,2026-08-17
Warrior Lawyers,https://www.warriorlawyers.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=14883,Wichita,KS,Sedgwick,(316) 265-5511,info@warriorlawyers.com,Criminal Defense,328 N Main,67202,Wichita,5,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
"Larson, Brown & Ebert, PA",https://www.ebertlawoffice.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=27936,Wichita,KS,Sedgwick,(316) 729-0100,,Estate Planning,3607 N Ridge Rd Ste 106,67205,Wichita,2,3,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
Triad Legal PLLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=25178,Wichita,KS,Sedgwick,(316) 669-5030,,General,"200 N Broadway St, Ste 300",67202,Wichita,2,2,KS Courts Registry,2026-08-17
"Bull Attorneys, P.A.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=20314,Wichita,KS,Sedgwick,(316) 684-4400,,General,10111 E 21st St N Ste 204,67206,Wichita,2,1,KS Courts Registry,2026-08-17
Klenda Austerman LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8222,Wichita,KS,Sedgwick,(316) 267-0331,,General,301 N. Main Ste 1600,67202,Wichita,2,11,KS Courts Registry,2026-08-17
"Olson Henry, LLC",https://www.olsonhenrylaw.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=25159,Wichita,KS,Sedgwick,(316) 847-7770,black_logo_transparent_background@2x.png,Personal Injury,200 W Douglas Ave Ste 400,67202,Wichita,5,5,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
Hutton & Hutton Law Firm,https://www.huttonlaw.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=23192,Wichita,KS,Sedgwick,(316) 688-1166,,Personal Injury,PO Box 638,67201-0638,Wichita,5,3,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
Carol J Bacon,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12169,Wichita,KS,Sedgwick,(316) 648-3832,,General,316 S Terrace,67218,Wichita,2,1,KS Courts Registry,2026-08-17
"Prelle Eron & Bailey, P.A.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=23926,Wichita,KS,Sedgwick,(316) 262-5500,,General,"301 N Main St, Ste 2000",67202,Wichita,2,2,KS Courts Registry,2026-08-17
"Mark J. Lazzo, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=27304,Wichita,KS,Sedgwick,(316) 263-6895,,General,"Bldg. 300, Ste. B 3500 N. Rock Rd",67226,Wichita,2,1,KS Courts Registry,2026-08-17
Balderas Legal Group LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27929,Wichita,KS,Sedgwick,(316) 974-2020,,General,1902 W Douglas Ave,67203,Wichita,2,1,KS Courts Registry,2026-08-17
"J. Houston Bales, Attorney",,,https://directory-kard.kscourts.gov/Home/Details?regNum=27625,Wichita,KS,Sedgwick,(316) 377-2605,,General,PO Box #780950,67278,Wichita,2,1,KS Courts Registry,2026-08-17
Emily Barclay - Attorney at Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=26872,Wichita,KS,Sedgwick,(316) 393-8451,,General,4925 S Broadway Ave PMB 4000,66216,Wichita,2,1,KS Courts Registry,2026-08-17
Hartenstein Poor & Foster LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29582,Wichita,KS,Sedgwick,(316) 261-9200,,General,"300 W Douglas Ave, Ste 350",67202,Wichita,2,4,KS Courts Registry,2026-08-17
Cotton Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22391,Wichita,KS,Sedgwick,(316) 264-6639,,General,"320 N Main, Ste 100",67202,Wichita,2,2,KS Courts Registry,2026-08-17
"John B. Barrett, Attorney at Law",https://www.barrettlegal.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=11951,Goddard,KS,Sedgwick,(316) 794-8041,,Criminal Defense,101 W 1st Ave PO Box 471,67052,Wichita,5,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
EmberHope Connections,,,https://directory-kard.kscourts.gov/Home/Details?regNum=25074,Wichita,KS,Sedgwick,(316) 213-5078,,General,2024 N Woodlawn St Ste 300,67208,Wichita,2,3,KS Courts Registry,2026-08-17
McDonald Tinker PA,https://www.mcdonaldtinker.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=27908,Wichita,KS,Sedgwick,(316) 263-5851,,Personal Injury,"300 W Douglas Ave, Ste 500",67202,Wichita,5,6,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
"Beall & Mitchell, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=17099,Wichita,KS,Sedgwick,(316) 267-8181,,General,210 N. St Francis,67202,Wichita,2,2,KS Courts Registry,2026-08-17
Law Office of Gregory L. Bernhardt,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12762,Wichita,KS,Sedgwick,(316) 264-1900,,General,1734 N Athenian Ave,67203,Wichita,2,1,KS Courts Registry,2026-08-17
"Law Office Of Jaime Blackwell, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=22419,Wichita,KS,Sedgwick,(316) 361-0426,,General,P.O. Box 780167,67278,Wichita,2,1,KS Courts Registry,2026-08-17
Young Bogle Law Firm,https://www.youngbogle.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=12907,Wichita,KS,Sedgwick,(316) 265-7841,,Family Law,100 N Main Ste 1001,67202,Wichita,4,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
Law Offices of Blase & blase,https://www.blaselawoffice.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=8417,Wichita,KS,Sedgwick,(316) 993-7733,aaron.blase@scottsdalefamilylaw.com,Family Law,1601 N Lynhurst Ave,67212,Wichita,4,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
Law Office Of Stephen J. Blaylock,,,https://directory-kard.kscourts.gov/Home/Details?regNum=7223,Wichita,KS,Sedgwick,(316) 869-2424,,General,255 N Water St,67202,Wichita,2,1,KS Courts Registry,2026-08-17
"Flint Hills Resources, LC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=21493,Wichita,KS,Sedgwick,(316) 828-8156,,General,4111 East 37th St N,67220,Wichita,2,,KS Courts Registry,2026-08-17
Bragg Law LLC,https://www.bragglaw.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=30593,Wichita,KS,Sedgwick,(316) 232-4111,hello@bragglaw.com,Personal Injury,"6446 E Central Ave, Ste 310",67206,Wichita,5,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
"Brave Law Firm, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=20025,Wichita,KS,Sedgwick,(316) 636-9500,,General,"3500 N. Rock Road, Bldg 100",67226,Wichita,2,1,KS Courts Registry,2026-08-17
