law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Barker Robert E,,,,Chanute,KS,Neosho,(620) 431-7464,,General,11 S Lincoln Ave,66720,,4,
"Bateman Law Group, LLC",https://www.chanutelawyer.com/,https://www.google.com/maps/place/?q=place_id:ChIJ06BpB9ZDuIcR8ItVqOAC0z4,,Chanute,KS,Neosho,(620) 281-4272,blgatty@leavenworthlawyer.com,General,203 W Main St,66720,,4,
Bideau Law Offices,http://www.bideaulaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ8e6oODVDuIcRXOj-uA9V0SM,,Chanute,KS,Neosho,(620) 431-2720,,General,18 N Forest Ave,66720,,4,
Clover Timothy D,,https://www.google.com/maps/place/?q=place_id:ChIJLV3cKTNDuIcRtPXLZb-XMMo,https://directory-kard.kscourts.gov/Home/Details?regNum=14133,Chanute,KS,Neosho,(620) 431-2403,,General,316 E Elm St,66720,,4,
Coombs Hull & Smith,,,,Chanute,KS,Neosho,(620) 431-1200,,General,10 S Steuben Ave,66720,,4,
DeVoe Law LLC,,,,Chanute,KS,Neosho,(620) 333-2999,devoelaw@gmail.com,Criminal Defense,PO Box 577,66720,,5,
Gillett Law Office,http://www.gillettlaw.com,https://www.google.com/maps/place/?q=place_id:ChIJzUo8WzdDuIcRSiBQwIe6rsI,,Chanute,KS,Neosho,(620) 431-1999,,General,15 S Forest Ave,66720,,4,7
Henshall Pennington & Brake,,https://www.google.com/maps/place/?q=place_id:ChIJc-ua3zRDuIcRTDgzvu4mpNs,,Chanute,KS,Neosho,(620) 431-2600,,General,101 W Main St,66720,,4,
Kluin Law Office,https://kluinlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJb2GTczNDuIcRUCAbVtdTSp8,,Chanute,KS,Neosho,(620) 431-1601,mail@kluinlaw.com,General,105 S Highland Ave,66720,,4,
Mark T. Lair Attorney at Law,,,,Chanute,KS,Neosho,(620) 431-1508,,General,"101 W Main, PO Box 511",66720,,4,
"R. Kent Pringle, P.A.",,,,Chanute,KS,Neosho,(620) 431-2202,,General,P.O. Box 748,66720,,4,
Rubow & Mikulka,,,,Chanute,KS,Neosho,(620) 431-7307,,General,332 W Main St,66720,,4,
"Sheryl Bussell, Attorney",,,,Chanute,KS,Neosho,(913) 709-6465,,General,PO Box 282,66720,,4,
The McKinney Law Office LLC,,https://www.google.com/maps/place/?q=place_id:ChIJ9WLsH8pcuIcRAzlSXXpHfIY,,Chanute,KS,Neosho,(620) 433-4115,,General,215 W Cherry St,66720,,4,
Law Office of Richard L Hines PA,,https://www.google.com/maps/place/?q=place_id:ChIJfyEAFZ5tuIcRHFm9NB_hixg,https://directory-kard.kscourts.gov/Home/Details?regNum=9655,Erie,KS,Neosho,(620) 244-3227,,General,301 S Main St,66733,,4,
"Linus A. Thuston, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=16896,Chanute,KS,Neosho,(620) 431-8927,,General,PO Box 611 211 W Main,66720,,2,
Law Office Of Shane Adamson,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13771,Parsons,KS,Neosho,(620) 392-4505,,General,"1906 Main St, Ste 111",67357,,2,
Neosho County Magistrate Judge,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20750,Chanute,KS,Neosho,(620) 431-5700,,General,102 S Lincoln,66720,,2,
Kansas Department For Children & Families,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14565,Chanute,KS,Neosho,(620) 433-0806,,General,203 E 21st St,66720,,2,
"Nodine Legal, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30543,Parsons,KS,Neosho,(620) 717-7668,,General,4301 Main St,67357,,2,
Southeast Kansas Public Defenders Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22281,Chanute,KS,Neosho,(620) 431-3796,,General,10 S. Highland,66720,,2,
"Griebat Law Office, P.A.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=20836,Chanute,KS,Neosho,620-431-2600,,General,101 W Main St Lower Level PO Box 442,66720,,2,
"Richard L. Hines, P.A.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=9655,Erie,KS,Neosho,620-244-3227,,General,PO Box 108,66733,,2,
"Smith Law Office, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=27671,Chanute,KS,Neosho,620-431-2600,,General,PO Box 667,66720,,2,
