law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Bartlesville Law,https://www.bartlesvilleattorneys.com/,https://www.google.com/maps/place/?q=place_id:ChIJceXH_pkTt4cR39GXcPaKzoM,,Bartlesville,OK,Washington,(918) 336-3807,lesreynoldslaw@gmail.com,Criminal Defense,118 S Choctaw Ave,74003,Tulsa,5,
Branstetter Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJ37WNP48Tt4cRUUZTjawB7og,,Bartlesville,OK,Washington,(918) 213-4513,,General,415 Dewey Ave,74003,Tulsa,4,
Disability Law Center,,,,Bartlesville,OK,Washington,(918) 333-7300,,General,805 S Madison Blvd,74006,Tulsa,4,
Fries & Fries,,https://www.google.com/maps/place/?q=place_id:ChIJ4Skz24gTt4cRcHnB3QVhYwo,,Bartlesville,OK,Washington,(918) 338-0048,,General,401 Dewey Ave Ste 222,74003,Tulsa,4,
Garrison Brown & Carlson,https://www.gbcattorneys.com/services,https://www.google.com/maps/place/?q=place_id:ChIJD3B41pETt4cRwvKgKB5ixzM,,Bartlesville,OK,Washington,(918) 336-2520,gbcbblaw@aol.com,Personal Injury,530 Delaware Ave,74003,Tulsa,5,
Gaylene Mc Callum Atty At Law,,https://www.google.com/maps/place/?q=place_id:ChIJRVH9a48Tt4cRHx3L73dY9BQ,,Bartlesville,OK,Washington,(918) 333-2783,,General,415 Dewey Ave,74003,Tulsa,4,
Gaylene McCallum Attorney At Law,,,,Bartlesville,OK,Washington,(918) 337-0400,,General,415 S Dewey Ave,74003,Tulsa,4,
Hart Amy,,https://www.google.com/maps/place/?q=place_id:ChIJ0TYkuY4Tt4cRCRu44tv3ABg,,Bartlesville,OK,Washington,(918) 336-5100,,General,2431 Nowata Pl,74006,Tulsa,4,
Hesket & Heskett,https://www.hesklaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9ZWGzYgTt4cRnkHSwecwbjE,,Bartlesville,OK,Washington,(918) 336-1773,,Personal Injury,2401 Nowata Pl A,74006,Tulsa,5,3
John C Holden Attorney at Law,http://www.johnholdenattorneyatlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJXR9Yu9oTt4cR1JyS--KX0E4,,Bartlesville,OK,Washington,(918) 336-1722,,DUI,416 E 5th St,74003,Tulsa,5,
Johnny P Akers Law Center,,https://www.google.com/maps/place/?q=place_id:ChIJwbotaY8Tt4cRPocWMeDEg78,,Bartlesville,OK,Washington,(918) 336-1818,,General,401 SE Dewey Ave #204,74003,Tulsa,4,
Kane Kane Kane & Roark,,https://www.google.com/maps/place/?q=place_id:ChIJierCi44Tt4cRNGN9-FrNmTU,,Bartlesville,OK,Washington,(918) 336-2310,,General,301 SE Adams Blvd,74003,Tulsa,4,
Knowles Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJaei2TTATt4cR5QFDaCDaXCw,,Bartlesville,OK,Washington,(918) 214-8904,,General,504 Silas St,74003,Tulsa,4,
"Legal Aid Services of Oklahoma, Inc.",https://www.legalaidok.org/,https://www.google.com/maps/place/?q=place_id:ChIJPVzqW1ESt4cR2eKO9xRYi4c,,Bartlesville,OK,Washington,(918) 336-5736,,Family Law,3851 E Tuxedo Blvd Suite E,74006,Tulsa,4,
Luis E. Ortiz Law Office,https://www.luiseortizlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJg4efDYQRt4cRt1c2p9PmbIQ,,Bartlesville,OK,Washington,(918) 327-2364,l%65%6frt%69zatt%79@%79%61hoo.c%6fm,Personal Injury,415 Dewey Ave Suite #205,74003,Tulsa,5,
Maddux & Ihrig,,https://www.google.com/maps/place/?q=place_id:ChIJNSAEKpATt4cRHwIM78aFd6k,,Bartlesville,OK,Washington,(918) 214-8040,,General,224 E 4th St,74003,Tulsa,4,
Meason & Morris Law | Criminal Defense & Family Law,https://www.measonmorris.com/,https://www.google.com/maps/place/?q=place_id:ChIJ0TYkuY4Tt4cRtgVc0wXMi3g,,Bartlesville,OK,Washington,(918) 719-2964,,Criminal Defense,515 Delaware Ave,74003,Tulsa,5,
Pembleton Law Firm,,,,Bartlesville,OK,Washington,(918) 213-0957,,General,715 S Dewey Ave,74003,Tulsa,4,
Persaud Law Office,https://www.persaudlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJ7WB7VtETt4cRACwUpkvdzxc,,Bartlesville,OK,Washington,(918) 336-1124,,Family Law,515 Delaware Ave,74003,Tulsa,4,
Privitt Law Office,,,,Bartlesville,OK,Washington,(918) 331-0196,,General,,74006,Tulsa,4,
ROBINETT | KING - Attorneys at Law,http://www.robinettking.com/,https://www.google.com/maps/place/?q=place_id:ChIJ4Skz24gTt4cRiFt4ZKVbQgA,,Bartlesville,OK,Washington,(918) 336-4132,,Personal Injury,117 W 5th St,74003,Tulsa,5,
Remona K Colson Attorney At Law,,,,Bartlesville,OK,Washington,(918) 336-1605,,General,511 1/2 S Cherokee Ave,74003,Tulsa,4,
Sanders Law Office,https://sites.google.com/view/sanderslawofficebartlesville/home,https://www.google.com/maps/place/?q=place_id:ChIJRVH9a48Tt4cR6SOOdv3Edck,,Bartlesville,OK,Washington,(918) 336-1300,,Family Law,415 SE Dewey Ave,74003,Tulsa,4,
"Social Security Law Center, LLC",http://www.sslcnow.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9_S0QlMSt4cRU7s7g7Nk-0A,,Bartlesville,OK,Washington,(918) 335-3100,mail@sslcnow.com,Criminal Defense,5204 Jacquelyn Ln Ste 8,74006,Tulsa,5,2
Sumner Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJFdPjsJATt4cRrqjJx0Lmb2Q,,Bartlesville,OK,Washington,(918) 336-5959,,General,215 S Choctaw Ave,74003,Tulsa,4,
Wirth Law Office - Bartlesville,http://www.bartlesvilleattorney.com/,https://www.google.com/maps/place/?q=place_id:ChIJf2sfwIgTt4cRX9GSgzlksVY,,Bartlesville,OK,Washington,(918) 213-0950,,Criminal Defense,504 Silas St,74003,Tulsa,5,2
