law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Aaron R. Setliff,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Adrian J. Rodriguez,,,,,TX,El Paso,,,Civil Litigation,,,El Paso,3,1,2026-09-13,State Bar of Texas Member Directory
Adriana Aranda,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Adriana Sophia Galindo,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Alejandra Chavira,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Alexander J. Mate,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Alexis Vianey Martinez,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Alfonso Porras,,,,,TX,El Paso,512-791-7323,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Angel Alfaro,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Arthur Robert Piacenti,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Bret Alan Moon,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Brian R. Rodriguez Law PLLC,,,,,TX,El Paso,915-247-6455,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Carmen Irene Huerta-Perez,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Casper Johan den Harder,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Catharine Paul,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Catherine Carter Semler,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Chad Allan Bernaeyge,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Charles Mark Berry Jr,,,,,TX,El Paso,,,Civil Litigation,,,El Paso,3,1,2026-09-13,State Bar of Texas Member Directory
Christina Montes Law Firm,,,,,TX,El Paso,915-702-6555,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Christine Lozano,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Constance Ruth Crawford,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Cris Estrada,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Cygne L. Nemir,,,,,TX,El Paso,,,Real Estate,,,El Paso,2,1,2026-09-13,State Bar of Texas Member Directory
Daniel Francis Collins,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Daniel Joel Palacios,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Daniel Thomas O'Neill,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
David R. McClure,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
"Delgado Acosta Spencer Linebarger & Perez, LLP",,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Diana E. Meraz,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Dinoushka Sada,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Dominique Marie Bernal,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Donivan Joseph Ortega,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Donna Svet Miller,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
EPISD,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Edith Landwing,,,,,TX,El Paso,202-352-3074,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Fox Y. Whitworth,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Gabriel Alex Galaviz,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Gabriela Crystalann Trujillo,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Gabriella A. Guerena,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
George Havlovic,,,,,TX,El Paso,915-856-6246,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Gianna Lysette Ragona,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Grace E. Preston,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Guadalupe Lopez,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Guadalupe Reyna Gonzalez,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Hassan Adole Hassan,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Idaly Rios,,,,,TX,El Paso,,,Real Estate,,,El Paso,2,1,2026-09-13,State Bar of Texas Member Directory
Jacob Thomas Wedemeyer,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Jacobett Law PLLC,https://jacobettlaw.com/,,,,TX,El Paso,915-247-7011,,Personal Injury,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Jaime Marie Bujanda Allen,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Jayme Jude Valtierra,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Jeffrey S. Alley,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Jessica M. Leyva,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Jo Anne Bernal,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Joe Wearmouth Law Offices,,,,,TX,El Paso,612-250-9646,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Jonathan Ray Ramirez,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Jorge Dominguez,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Jose Fernando Moncayo,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Joshua Frank Keton,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Joshua Govea,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Joshua Kalob Murphy,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Joyce Garcia,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Julie Aaron Law,https://julieaaronlaw.com/,,,,TX,El Paso,915-209-2940,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory; State Bar self-reported website
Karl Dean Luth,,,,,TX,El Paso,,,Criminal Defense,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Kathleen C. Anderson,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
"Law Firm of Marcella Dominguez, PLLC",,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Law Office of Evelina Ortega,,,,,TX,El Paso,915-373-1172,,Personal Injury,,,El Paso,5,1,2026-09-13,State Bar of Texas Member Directory
Leila Safi Hobson,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Leslie Balan Jean-Pierre,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
Lillian Ariadna Sanchez Porras,,,,,TX,El Paso,,,Employment Law,,,El Paso,3,1,2026-09-13,State Bar of Texas Member Directory
Lilliana Joy Khoury,,,,,TX,El Paso,,,General,,,El Paso,4,1,2026-09-13,State Bar of Texas Member Directory
