law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Law Office Of Donald E. Anderson II, LLC",https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.reachattorneys.com%2Flawyers%2Fkansas%2Fgreat%2Dbend%2Fthe%2Dlaw%2Doffice%2Dof%2Ddonald%2De%2Danderson%2Dii%2Dllc%2F&rut=c65e160f44d89d73bb6ce6805877a5848ad4df0e462948d39ed947d0c5b68bca,,https://directory-kard.kscourts.gov/Home/Details?regNum=24674,Great Bend,KS,Barton,620-564-2923,,General,PO Box 1628,67530-1628,,2,
Watkins Calcara Chtd,https://duckduckgo.com/l/?uddg=https%3A%2F%2F101attorney.com%2Fattorney_finder%2Flisting_e05123fe965bfc590f2233280447dee6.shtml&rut=74d991b55d74adfddf56afb444d9b04287b8d78c4886386d2bae66d0d75d6211,,https://directory-kard.kscourts.gov/Home/Details?regNum=28627,Great Bend,KS,Barton,620-792-8231,,General,1321 Main St Ste 300,67530,,2,
"Bauer Pike Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=10096,Great Bend,KS,Barton,620-793-7239,,General,1310 Kansas Ave,67530,,2,
Kansas Judicial Branch,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13408,Great Bend,KS,Barton,620-793-1863,,General,1400 Main,67530,,2,
Boeckman Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9928,Great Bend,KS,Barton,620-603-6443,,General,1917 Lakin St,67530,,2,
Isern and Carpenter,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12916,Great Bend,KS,Barton,620-792-5388,,General,P.O. Box 1626,67530-1626,,2,
"Wary-Ellegood Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=26814,Great Bend,KS,Barton,620-945-0932,,General,2018 Forest Ave,67530,,2,
Joel B. Jackson,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10676,Great Bend,KS,Barton,620-792-7452,,General,2018 Forest PO Box 393,67530,,2,
Keenan Law Firm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30803,Great Bend,KS,Barton,620-793-7811,,General,"2200 Lakin Ave, Ste B",67530-4368,,2,
"Joe Shepack, Atty At Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=11596,Ellinwood,KS,Barton,620-566-1970,,General,PO Box 277 16A N Main,67526,,2,
Saint Francis Ministries,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22526,Great Bend,KS,Barton,316-397-0639,,General,1508 Main St,67530,,2,
McVey Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=15501,Great Bend,KS,Barton,620-793-9368,,General,1201 Washington,67530,,2,
William Spece,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9814,Great Bend,KS,Barton,620-792-7726,,General,2001 Van Buren St,67530-2138,,2,
"John L. Horner, Chtd.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=10737,Great Bend,KS,Barton,620-793-7874,,General,PO Box 1134,67530,,2,
"Donald E. Reif, Jr. Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=13792,Hoisington,KS,Barton,620-653-2187,,General,PO Box 28 106 N Main,67544-0028,,2,
"Robert G. Suelter, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8309,Great Bend,KS,Barton,620-786-9843,,General,3725 24th St,67530,,2,
Roth Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10033,Ellinwood,KS,Barton,620-282-4054,,General,Ten North Main,67526,,2,
