law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Bartlett Co-Op Association - Bartlett,https://www.bartlettco-op.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/?q=place_id:ChIJD4z1gGH6t4cRchfd42O-mjA,,Bartlett,KS,Labette,(620) 226-3322,,Social Security Disability,401 Main St,67332,,2,
USD 505 Chetopa - St Paul,,,,Chetopa,KS,Labette,(620) 236-7244,,General,430 Elm St,67336,,4,
Contact Syracuse Medical Malpractice Attorney Janet Izzo,http://www.izzolawoffice.com/Contact.html,,,Oswego,KS,Labette,315-421-1000,,Medical Malpractice,"205 South Salina Street, Suite 403",,,5,
Danielle M. Hall – Institute For Well-Being In Law,https://lawyerwellbeing.net/dt_team/danielle-m-hall,,,Oswego,KS,Labette,,iwil@lawyerwellbeing.net,General Practice,,,,4,
Fred W Johnson Law Offices,,https://www.google.com/maps/place/?q=place_id:ChIJI8fvJHP_t4cRMQxDduJ6x9s,https://directory-kard.kscourts.gov/Home/Details?regNum=26132,Oswego,KS,Labette,(620) 795-2754,,General,425 Commercial St,67356,,4,
Judge David Waxse - Legal Talk Network,https://legaltalknetwork.com/guests/judge-david-waxse,,,Oswego,KS,Labette,,ltnteam@lawgical.com,Criminal Defense,,,,5,
Labette County Law Enforcement Center And E.O.C.,,,,Oswego,KS,Labette,,,General,Fifth St.,67356,,4,
Syracuse Estate Planning Attorney Frederick P. Davies Explains Key ...,,,,Oswego,KS,Labette,315-472-6511,,Personal Injury,,,,5,
Taylor News Papers,http://taylornews.org,,,Oswego,KS,Labette,(620) 795-2550,chronicle@taylornews.org,Social Security Disability,713 4th St,67356,,2,
Advance America,https://www.advanceamerica.net/store-locations/kansas/2222-main-st-parsons-67357,,,Parsons,KS,Labette,(620) 421-0605,,Social Security Disability,2222 Main St,67357,,2,
"Angela Walker, K.C. - MDW Law",https://mdwlaw.ca/lawyers/angela-walker,,,Parsons,KS,Labette,902-422-5881,angela@mdwlaw.ca,Personal Injury,"2024 to teach a workshop on conflict resolution. As a consummate learner, she",,,5,2
Dosh Edward W Law Office,http://edwardwdoshlawoffice.placeweb.site,,,Parsons,KS,Labette,(620) 421-2720,,General,1805 Main St,67357,,4,
Express Inn Parsons,,,,Parsons,KS,Labette,(620) 421-8000,,General,229 Main St,67357,,4,
Firms - SCG Legal,https://scglegal.com/firms,,,Parsons,KS,Labette,225-378-3232,robert.rieger@arlaw.com,General Practice,,,,4,2
Green Country Ford of Parsons,http://www.greencountryfordparsons.com,,,Parsons,KS,Labette,(620) 423-3673,,General,1100 Main St,67357,,4,
Kitchen Pass,http://kitchenpass.net/,,,Parsons,KS,Labette,(620) 421-1907,,General,1711 Main St,67357,,4,
Law Office of Shane Adamson,,https://www.google.com/maps/place/?q=place_id:ChIJq6rqmIgauIcRFW-0JzE1T-c,,Parsons,KS,Labette,(620) 392-4505,,General,1906 Main St #111,67357,,4,
Memorial Lawn Cemetery,,,,Parsons,KS,Labette,(620) 421-1444,,General,21039 Ness Rd,67357,,4,
Nodine Lucas J ATY Nodine Legal,http://www.nodinelegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJizygWo8auIcR1bTBCkVdSF0,https://directory-kard.kscourts.gov/Home/Details?regNum=30543,Parsons,KS,Labette,(620) 717-7668,office@nodinelegal.com,Family Law,4301 Main St,67357,,4,2
The Fleming Law Firm,https://www.fleming-lawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJ2TRg44UauIcRtL4I-IvhesU,,Parsons,KS,Labette,(620) 421-4580,kfleming@fleming-lawfirm.com,Personal Injury,2328 Main St,67357,,5,
"Utah State List: Elder Law, Medicaid, and Estate Planning Services",https://www.careutah.com/list18_elder_law_attorneys_lawyers_medicaid_advice.htm,,,Parsons,KS,Labette,801-463-2600,info@longtermcarelink.net,Family Law,,,,4,6
City of Parsons,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18258,Parsons,KS,Labette,620-421-7030,,General,112 S 17th St PO Box 1037,67357,,2,
Labette County District Court,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17692,Parsons,KS,Labette,620-421-4120,,General,201 S Central Ave,67357,,2,
Labette County Attorney's Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=28389,Parsons,KS,Labette,620-421-6370,,General,"201 S Central, Ste B",67357,,2,
Eleventh Judicial District Court,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10538,Parsons,KS,Labette,620-421-1410,,General,201 S Central,67357,,2,
