law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,source,date_pulled
Delaney Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20476,Hiawatha,KS,Brown,(785) 742-7600,,General,622 Oregon St,66434,,2,1,KS Courts Registry,2026-08-17
Halbert Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24328,Hiawatha,KS,Brown,(785) 742-7101,,General,112 S. 7th St PO Box 183,66434,,2,1,KS Courts Registry,2026-08-17
"James A Patton, Attorney",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8710,Hiawatha,KS,Brown,(785) 741-1981,,General,415 Hiawatha Ave,66434,,2,1,KS Courts Registry,2026-08-17
Sunderland and Mishler Law Offices,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29373,Sabetha,KS,Brown,(785) 284-2360,,General,920 Main St PO Box 283,66534,,2,2,KS Courts Registry,2026-08-17
Brown County Courthouse,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9388,Hiawatha,KS,Brown,(785) 742-2236,,General,P.O. Box 417,66434,,2,1,KS Courts Registry,2026-08-17
Brien Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=16199,Hiawatha,KS,Brown,(913) 205-7513,,General,610 Miami,66434,,2,1,KS Courts Registry,2026-08-17
Coughlin Law Office LLC,https://www.coughlinlawoffice.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=25274,Sabetha,KS,Brown,(785) 284-2843,carver@kanpat.com,Intellectual Property,821 Main St,66534,,1,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search; email via firm website scrape,2026-08-17
"Michael W. Riley, Attorney at Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=15087,Hiawatha,KS,Brown,(785) 740-6453,,General,117 S 6th St,66434,,2,1,KS Courts Registry,2026-08-17
Russell Wright Consulting,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12909,Hiawatha,KS,Brown,(620) 441-8511,,General,709 Oregon St,66434,,2,1,KS Courts Registry,2026-08-17
"Elizabeth M. Olson, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=25940,Hiawatha,KS,Brown,(785) 741-0178,,General,408 Mohave,66434,,2,1,KS Courts Registry,2026-08-17
Gordon R. Olson,,,https://directory-kard.kscourts.gov/Home/Details?regNum=7392,Sabetha,KS,Brown,(785) 284-3426,,General,824 Main St PO Box 163,66534-0163,,2,,KS Courts Registry,2026-08-17
