law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"R. Clark Allemang, II, Attorney at Law, P.A.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=19825,Emporia,KS,Lyon,(620) 343-6500,,General,519 Commercial St,66801,,2,
Harvest Legal,,,https://directory-kard.kscourts.gov/Home/Details?regNum=26009,Emporia,KS,Lyon,(620) 263-0391,,General,605 Lincoln St.,66801,,2,
Atherton & Huth,,,https://directory-kard.kscourts.gov/Home/Details?regNum=15616,Emporia,KS,Lyon,(620) 342-1277,,General,415 Commercial,66801,,2,
"Stanley R. Ausemus, Chartered",,,https://directory-kard.kscourts.gov/Home/Details?regNum=5967,Emporia,KS,Lyon,(620) 342-8717,,General,413 Commercial,66801,,2,
Law Office of James Bordonaro LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=23642,Emporia,KS,Lyon,(620) 757-2583,,General,1607 Rural St,66801,,2,
Putnam & Dean LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18395,Emporia,KS,Lyon,(620) 342-2662,,General,PO Box 1135,66801,,2,
Heiman Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22090,Americus,KS,Lyon,(785) 256-0628,,General,P.O. Box 173,66835,,2,
Ted Hollembeak Attorney,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8241,Emporia,KS,Lyon,(620) 481-9549,,General,529 Commercial Street Ste 401,66801,,2,
Stewart Law Firm LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19711,Allen,KS,Lyon,(913) 302-6517,,General,3445 Rd D,66833,,2,
Kansas Legal Services,,,https://directory-kard.kscourts.gov/Home/Details?regNum=28461,Emporia,KS,Lyon,(620) 343-7520,,General,527 Commercial St,66801,,2,
"Williams Law Office, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=21348,Emporia,KS,Lyon,(620) 208-5700,,General,425 Commercial St,66801,,2,
Symmonds & Symmonds LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8218,Emporia,KS,Lyon,(620) 343-2764,,General,427 Commercial St,66801,,2,
Lyon Co Courthouse,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10865,Emporia,KS,Lyon,(620) 341-3293,,General,430 Commercial,66801,,2,
"Law Offices of Frederick L. Meier, II",,,https://directory-kard.kscourts.gov/Home/Details?regNum=13317,Emporia,KS,Lyon,(620) 342-7600,,General,425 Commercial,66801,,2,
Miller & Miller Chartered,,,https://directory-kard.kscourts.gov/Home/Details?regNum=26905,Emporia,KS,Lyon,(620) 343-2650,,General,702 Commercial St Ste 2B,66801,,2,
Lyon County Counselor,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27750,Emporia,KS,Lyon,(620) 341-3234,,General,430 Commercial St,66801,,2,
Kansas Senior Judge,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9515,Emporia,KS,Lyon,(620) 757-5111,,General,1408 Presby Dr,66801,,2,
Simmons Law Office PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22401,Emporia,KS,Lyon,(620) 340-0043,,General,PO Box 1249,66801,,2,
