law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Melot Law Offices,http://www.melotlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJD4JAHoZ6socRmS6XLnrakuo,,Blanchard,OK,Grady,(405) 485-4620,,Personal Injury,1601 Veterans Memorial Hwy,73010,Oklahoma City,5,2
Stallings Law Offices,,https://www.google.com/maps/place/?q=place_id:ChIJlyLOboB6socRGuIqDVADWtM,,Blanchard,OK,Grady,(405) 485-3444,,General,1019 N Council Ave,73010,Oklahoma City,4,
Agee Alan,,https://www.google.com/maps/place/?q=place_id:ChIJPU20bivksocRgwF9kVrYGI4,,Chickasha,OK,Grady,(405) 238-5559,,General,101 E Grant Ave,73075,Oklahoma City,4,
Agee Brett,,https://www.google.com/maps/place/?q=place_id:ChIJPU20bivksocRqsRyeMvM5H4,,Chickasha,OK,Grady,(405) 238-1000,,Personal Injury,101 E Grant Ave,73075,Oklahoma City,5,
"Angel, Johnston & Blasingame, P.C.",,https://www.google.com/maps/place/?q=place_id:ChIJx9um3mqDrYcRrrD4rIkjD24,,Chickasha,OK,Grady,(405) 224-6363,,Social Security Disability,2700 S 4th St,73018,Oklahoma City,1,
Ayache Micah G,http://www.ayachepc.com/,https://www.google.com/maps/place/?q=place_id:ChIJK8OHGCvksocRHF9wgXTGxSg,,Chickasha,OK,Grady,(405) 238-5000,micah@ayachepc.com,Criminal Defense,120 N Willow St,73075,Oklahoma City,5,
Barney Dan,,https://www.google.com/maps/place/?q=place_id:ChIJe5qOCyvksocRzikkQ_8eebo,,Chickasha,OK,Grady,(405) 238-5564,,General,100 E Paul Ave,73075,Oklahoma City,4,
Bingaman Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJO6GKgJiErYcRUp9ARHHwrtk,,Chickasha,OK,Grady,(405) 222-4646,,General,127 W Chickasha Ave,73018,Oklahoma City,4,
Burns Law Firm,,https://www.google.com/maps/place/?q=place_id:ChIJe6RnXqKErYcRFetrAn8eMdo,,Chickasha,OK,Grady,(405) 320-5911,,General,519 W Chickasha Ave A,73018,Oklahoma City,4,
Buzin Law Office,http://buzinlawok.com/,https://www.google.com/maps/place/?q=place_id:ChIJxenHcpiErYcRsChQetsKS8o,,Chickasha,OK,Grady,(405) 222-5552,,Personal Injury,215 N 4th St,73018,Oklahoma City,5,
Disability Specialists LLC,,https://www.google.com/maps/place/?q=place_id:ChIJR4i12KSErYcR0H8lxKZUcQ0,,Chickasha,OK,Grady,(405) 222-7001,,General,1000 W Choctaw Ave #12,73018,Oklahoma City,4,
"Edward T. Tillery, Attorney at Law",,https://www.google.com/maps/place/?q=place_id:ChIJF1aoMCvksocRjQ001WWmEOs,,Chickasha,OK,Grady,(405) 238-9391,,General,210 W Grant Ave,73075,Oklahoma City,4,
Hart & Hart,,https://www.google.com/maps/place/?q=place_id:ChIJK8OHGCvksocR4yK-mtNwCN0,,Chickasha,OK,Grady,(405) 238-5561,,General,105 N Willow St,73075,Oklahoma City,4,
Hays & Gordon,,https://www.google.com/maps/place/?q=place_id:ChIJLY6k5qGErYcRuBPZIvciVp8,,Chickasha,OK,Grady,(405) 224-7575,,General,427 W Iowa Ave,73018,Oklahoma City,4,
Heck Keith W PC,,,,Chickasha,OK,Grady,(405) 224-1094,,General,411 W Chickasha Ave,73018,Oklahoma City,4,
Ivy Red Atty,https://www.ivyratcliffchasteen.com/,https://www.google.com/maps/place/?q=place_id:ChIJNy60RpiErYcRtduMcOVung0,,Chickasha,OK,Grady,(405) 224-1181,,Personal Injury,308 W Choctaw Ave,73018,Oklahoma City,5,2
John Sprowls Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJHbmy09TlsocRQmxuykldz5Y,,Chickasha,OK,Grady,(405) 238-9351,,General,211 N Walnut St,73075,Oklahoma City,4,
Johnston & Associates,,https://www.google.com/maps/place/?q=place_id:ChIJB5PXhXaFrYcR-t-IBWs6elo,,Chickasha,OK,Grady,(405) 224-4000,info@perrymanlegal.com,Civil Litigation,118 N 4th St,73018,Oklahoma City,3,
"Jonathan M. Rohrer, Attorney at Law",,https://www.google.com/maps/place/?q=place_id:ChIJ4avu6huFrYcRd2oamGwv2bw,,Chickasha,OK,Grady,(405) 825-1781,,General,304 W Choctaw Ave,73018,Oklahoma City,4,
Keith Readnour PC,,https://www.google.com/maps/place/?q=place_id:ChIJzdUjDCvksocR3wArBVkx2Qs,,Chickasha,OK,Grady,(405) 238-3383,,General,108 W Paul Ave,73075,Oklahoma City,4,
Lance Lisa W,,https://www.google.com/maps/place/?q=place_id:ChIJaT6QCyvksocRS6NelAmN9WE,,Chickasha,OK,Grady,(405) 238-5353,,General,104 E Paul Ave,73075,Oklahoma City,4,
Legal Aid Services of Ok Inc,https://legalaidok.org/,https://www.google.com/maps/place/?q=place_id:ChIJTeByyp6ErYcRoMjKD6GRIGI,,Chickasha,OK,Grady,(405) 222-1231,,Family Law,301 S 2nd St B,73018,Oklahoma City,4,
Liberty Lawyers PLLC,,https://www.google.com/maps/place/?q=place_id:ChIJd6514DDlsocR5_T9U-oOXUo,,Chickasha,OK,Grady,(405) 479-8912,,General,110 N Willow St,73075,Oklahoma City,4,
McCalla Brown Patel LLP,http://www.mbplegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJQf2idJmErYcRFlTXtgaulnA,,Chickasha,OK,Grady,(405) 224-3626,dmccalla@mbplegal.com,Civil Litigation,126 W Chickasha Ave,73018,Oklahoma City,3,
Moon & Moon Attorneys at Law,https://moonandmoon.net/home/,https://www.google.com/maps/place/?q=place_id:ChIJPRo50z2DrYcR_jeT4IsCbG8,,Chickasha,OK,Grady,(405) 224-1991,wmoonsr@moonandmoon.net,Personal Injury,721 W Country Club Rd,73018,Oklahoma City,5,
Park Nelson Caywood & Jones,,https://www.google.com/maps/place/?q=place_id:ChIJufzafJiErYcRcVO7EJDUuz0,,Chickasha,OK,Grady,(405) 224-0386,,General,122 N 4th St,73018,Oklahoma City,4,
Rennie Jr Robert T,,https://www.google.com/maps/place/?q=place_id:ChIJx3zpDCvksocRBnl0uQyJHyc,,Chickasha,OK,Grady,(405) 238-7511,,General,118 N Chickasaw St,73075,Oklahoma City,4,
Rivas Law,http://www.rivaslawoklahoma.com/,https://www.google.com/maps/place/?q=place_id:ChIJ51zPJKOErYcRzpZdLfMpRE8,,Chickasha,OK,Grady,(405) 222-3500,,Social Security Disability,628 W Choctaw Ave,73018,Oklahoma City,1,
Roose & Roose Law Firm,,,,Chickasha,OK,Grady,(405) 222-2444,,General,301 S 2nd St,73018,Oklahoma City,4,
Sandra Helvey Attorney At Law,,https://www.google.com/maps/place/?q=place_id:ChIJYTUa9NTlsocRRcmf-cpvicY,,Chickasha,OK,Grady,(405) 238-5805,,General,413 N Ash St,73075,Oklahoma City,4,
Schroeder Spencer F,http://www.schroederlawok.com/,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqpmErYcRyAOF_e9Z3Ko,https://lawyers.justia.com/lawyer/spencer-ford-schroeder-968709,Chickasha,OK,Grady,(405) 224-4787,sfschroeder4@gmail.com,Criminal Defense,117 S 7th St,73018,Oklahoma City,5,2
Scott Tack Attorney at Law,,https://www.google.com/maps/place/?q=place_id:ChIJ-YF0qpmErYcRc5XAMhjtfMw,,Chickasha,OK,Grady,(405) 224-3111,,General,401 W Chickasha Ave,73018,Oklahoma City,4,
The Law Officesof Fergason and Rehl,https://fergasonandrehllaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJYaZx4aGErYcRihQfi0rD1Ew,,Chickasha,OK,Grady,(405) 222-5550,,Personal Injury,423 W Iowa Ave,73018,Oklahoma City,5,2
Valley Law Partners,,https://www.google.com/maps/place/?q=place_id:ChIJecpJ2kkM3qYRrHAz26loZgU,,Chickasha,OK,Grady,(405) 238-4460,,General,215 N Walnut St,73075,Oklahoma City,4,
Vandever Billy D,,https://www.google.com/maps/place/?q=place_id:ChIJV82cIivksocR39EV4jkl7a4,,Chickasha,OK,Grady,(405) 238-9305,,General,113 N Willow St,73075,Oklahoma City,4,
Wirth Law Office - Chickasha,https://www.chickashalawyer.com/,https://www.google.com/maps/place/?q=place_id:ChIJWdg36cuFrYcRzbgiJ4D5eYk,,Chickasha,OK,Grady,(405) 272-4100,,Criminal Defense,408 W Pennsylvania Ave,73018,Oklahoma City,5,
Worden & Carbitcher,http://wordenfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJSxRYxVrlsocRGVeWLZojo9g,,Chickasha,OK,Grady,(405) 360-8036,,Criminal Defense,315 W Grant Ave Suite 200,73075,Oklahoma City,5,7
Williams Dan,,https://www.google.com/maps/place/?q=place_id:ChIJW4bxdax6rYcRx6OKeI_nf1Q,,Rush Springs,OK,Grady,(580) 476-9348,,General,303 W Blakely St,73082,Oklahoma City,4,
