law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,source,date_pulled
Bors Law PA,https://www.borslaw.com,,https://directory-kard.kscourts.gov/Home/Details?regNum=20261,Garden City,KS,Finney,(620) 276-2800,,Family Law,118 W Pine,67846,,4,1,KS Courts Registry; website via DuckDuckGo/Google Business Profile search,2026-08-17
Calvin Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=11318,Garden City,KS,Finney,(620) 214-8623,,General,911 N 4th St,67846,,2,1,KS Courts Registry,2026-08-17
"Morris, Laing, Evans, Brock & Kennedy, Chtd.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=24696,Garden City,KS,Finney,(620) 275-8084,,General,"312 N. 8th St, Ste A",67846,,2,3,KS Courts Registry,2026-08-17
Calihan Law Firm PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17894,Garden City,KS,Finney,(620) 276-2381,,General,P.O. Box 1016,67846-1016,,2,,KS Courts Registry,2026-08-17
"Farnsworth Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=28634,Garden City,KS,Finney,(785) 726-3129,,General,"410 N. 6th St, Unit A",67846,,2,1,KS Courts Registry,2026-08-17
Rebecca J. Faurot,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19268,Garden City,KS,Finney,(620) 271-6108,,General,425 N 8th St #408,67846,,2,1,KS Courts Registry,2026-08-17
"Bryce Haverkamp, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=15273,Garden City,KS,Finney,(620) 272-6977,,General,PO Box 2429,67846,,2,1,KS Courts Registry,2026-08-17
Heydman Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13645,Garden City,KS,Finney,(620) 275-7000,,General,1519 E. Fulton Terrace P.O. Box 2010,67846,,2,1,KS Courts Registry,2026-08-17
Lindner Law Firm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20914,Garden City,KS,Finney,(620) 260-7125,,General,505 N 6th St,67846,,2,2,KS Courts Registry,2026-08-17
HMBCR LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10764,Garden City,KS,Finney,(620) 276-3203,,General,PO Box 439 607 N 7th St,67846,,2,4,KS Courts Registry,2026-08-17
Dean K. Ryan Attorney at Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10923,Garden City,KS,Finney,(620) 275-9614,,General,117 Grant Ave,67846,,2,1,KS Courts Registry,2026-08-17
Cott Law Firm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22876,Garden City,KS,Finney,(620) 805-6085,,General,P.O. Box 1118,67846,,2,1,KS Courts Registry,2026-08-17
Finney County Attys Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=15010,Garden City,KS,Finney,(620) 272-3568,,General,409 N. 9th St,67846,,2,1,KS Courts Registry,2026-08-17
Schultz Law Office PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=11999,Garden City,KS,Finney,(620) 276-3728,,General,309 E Walnut,67846,,2,1,KS Courts Registry,2026-08-17
Law Office of Robert Kennington,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19814,Garden City,KS,Finney,(620) 277-8630,,General,PO Box 2263,67846,,2,1,KS Courts Registry,2026-08-17
"Robert Lewis, Esq.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=26985,Garden City,KS,Finney,(620) 290-9084,,General,311 N Main St. Suite 201,67846,,2,1,KS Courts Registry,2026-08-17
Philip C. Vieux,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9093,Garden City,KS,Finney,(620) 260-6766,,General,1714 Prairie Park Ln,67846,,2,1,KS Courts Registry,2026-08-17
