law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Ashley Kim D,,https://www.google.com/maps/place/?q=place_id:ChIJvRAi0lhfsocR__abUNM_3Ms,,Lexington,OK,Cleveland,(405) 527-3522,,General,10051 Flat Armadillo Rd,73051,Oklahoma City,4,
"BUSH LAW, P.P.L.C.",http://criminalattorneyokc.com/,https://www.google.com/maps/place/?q=place_id:ChIJBwELII4UsocRRYkgq1914w4,,Moore,OK,Cleveland,(405) 887-3805,,General,1020 NW 29th St,73160,Oklahoma City,4,
DeVetus,http://www.devetus.com/,https://www.google.com/maps/place/?q=place_id:ChIJnWuKUpMUsocRUU4agM_lwwQ,,Moore,OK,Cleveland,(405) 445-3022,,Estate Planning,1901 N Moore Ave Ste. 14,73160,Oklahoma City,2,
Goodin Law Firm - Moore,http://www.soonerlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJC2VnUdEUsocRBm0rt16AXkA,,Moore,OK,Cleveland,(405) 759-3100,,Bankruptcy,201 N Broadway Ave Ste 111,73160,Oklahoma City,2,
Moore Probate & Estate LLC,http://mooreoklaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJkeBbPscUsocRqhcF55UsFMM,,Moore,OK,Cleveland,(405) 793-8555,,Estate Planning,108 SE 3rd St Ste B,73160,Oklahoma City,2,2
"Ryan P. DeArman, P.L.L.C.",https://www.rpdearmanlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJycGJUpMUsocRfFe-W2CJ0Bo,,Moore,OK,Cleveland,(405) 501-7640,,Estate Planning,1901 N Moore Ave Ste. 14,73160,Oklahoma City,2,
Thomas Law Group,,,,Moore,OK,Cleveland,(405) 845-4155,,General,,73160,Oklahoma City,4,
"Uncontested Divorce in Oklahoma, Inc",https://www.expressuncontesteddivorce.com/,https://www.google.com/maps/place/?q=place_id:ChIJj6Z_as8UsocRidPQjptO00k,,Moore,OK,Cleveland,(405) 633-3194,,General,620 NW 5th St A,73160,Oklahoma City,4,
"Ylla | Gosney, Attorneys at Law",https://yglaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJfVSyuWIUsocR5KnFuEF82EI,,Moore,OK,Cleveland,(405) 800-8080,,Personal Injury,1010 S Santa Fe Ave Ste 100,73160,Oklahoma City,5,
Clayton & Pichot,,https://www.google.com/maps/place/?q=place_id:ChIJlU1K3uFcsocRWSfpscvk1uE,,Noble,OK,Cleveland,(405) 872-9216,,General,110 Main St,73068,Oklahoma City,4,
"GMF Legal Services, PLLC",,https://www.google.com/maps/place/?q=place_id:ChIJJ-wbIB5dsocRydvqaqXHCuY,,Noble,OK,Cleveland,(405) 872-5569,,Social Security Disability,108 Main St,73068,Oklahoma City,1,
Robin Stead Attorneys At Law,,https://www.google.com/maps/place/?q=place_id:ChIJrfNeoJNcsocRY93_tGKWasc,,Noble,OK,Cleveland,(405) 517-2533,,General,107 48th St,73068,Oklahoma City,4,
Adair Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJ67tIIKtpsocRenqDSp0xT14,,Norman,OK,Cleveland,(405) 329-2717,,General,2420 Springer Dr #220,73069,Oklahoma City,4,
Aldridge Teasdale PLLC,http://www.getatlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ67cu4edpsocRRWTVZEH8y4g,,Norman,OK,Cleveland,(405) 447-4878,contact@getatlaw.com,Personal Injury,324 W Main St,73069,Oklahoma City,5,
Allen & Mills PLLC,https://www.allenandmills.com/,https://www.google.com/maps/place/?q=place_id:ChIJla1ai9hpsocRfIbAKjm1D1c,,Norman,OK,Cleveland,(405) 701-8856,,Criminal Defense,222 E Main St,73069,Oklahoma City,5,
"Amend Law Firm, PLLC",,https://www.google.com/maps/place/?q=place_id:ChIJka3nkdlpsocRnU7ZpUkaGCo,,Norman,OK,Cleveland,(405) 414-6406,,General,124 E Main St,73069,Oklahoma City,4,
American Litigation Law Group,http://amerilit.com/,https://www.google.com/maps/place/?q=place_id:ChIJh3A1XSUXK4MRr3Qo9GQFTv4,,Norman,OK,Cleveland,(405) 701-4100,,Bankruptcy,3750 W Main St,73072,Oklahoma City,2,20
Andrews & Eckstein Law Firm,,,,Norman,OK,Cleveland,(405) 360-7001,,General,541 S University Blvd,73069,Oklahoma City,4,
Attorney Assisted Divorce PC,,,,Norman,OK,Cleveland,(405) 321-4469,,General,2350 McKown Dr,73072,Oklahoma City,4,
"Audrey S. Huffman, PLLC",,https://www.google.com/maps/place/?q=place_id:ChIJf9ejwS0XsocRfch5tTKBH6k,,Norman,OK,Cleveland,(405) 563-7145,,General,1820 W Lindsey St Ste 100,73069,Oklahoma City,4,
"B. Hall Law, LLC",https://www.bhalllaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJyzc9IdlpsocRyJQbeqtURGQ,,Norman,OK,Cleveland,(405) 928-8703,,Criminal Defense,123 E Tonhawa St #109,73069,Oklahoma City,5,2
Ball Morse Lowe PLLC,https://www.ballmorselowe.com/,https://www.google.com/maps/place/?q=place_id:ChIJRxPeNtlpsocRdR8-5fdzEwc,,Norman,OK,Cleveland,(405) 701-5355,info@ballmorselowe.com,Family Law,3201 S Berry Rd,73072,Oklahoma City,4,2
Barrett Legacy Estate Solutions,https://barrettestatesolutions.com/,https://www.google.com/maps/place/?q=place_id:ChIJE5jkSdlpsocRBl2yPhxm-0M,,Norman,OK,Cleveland,(405) 928-4075,kimberly@barrettestatesolutions.com,Estate Planning,131 E Main St Ste 220,73069,Oklahoma City,2,2
Bell Law Firm,https://www.thebelllawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJ1a1Wy85rsocRsVfsc0qIv_k,,Norman,OK,Cleveland,(405) 329-6850,,Personal Injury,2260 36th Ave NW Suite 100,73072,Oklahoma City,5,
Bernstein Law Firm,http://usasafetylawyer.com,https://www.google.com/maps/place/?q=place_id:ChIJdXmO7dtpsocRu9_5VyVayqo,,Norman,OK,Cleveland,(405) 329-1484,,Personal Injury,104 W Gray St,73070,Oklahoma City,5,
Bethany Stanley Attorney At Law,,,,Norman,OK,Cleveland,(405) 701-1882,,General,307 E Eufaula St,73069,Oklahoma City,4,
BlackBox Legal Group,,,,Norman,OK,Cleveland,(405) 857-2159,,General,300 W Gray St,73069,Oklahoma City,4,
Brayden Jennings Law,http://www.biclegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJq6qWxt5psocRHL9GiRE3i3c,,Norman,OK,Cleveland,(405) 568-3828,info@mysite.com,Family Law,104 W Gray St,73069,Oklahoma City,4,
Breathwit Jerry L Attorney,,,,Norman,OK,Cleveland,(405) 235-2700,,General,1012 Mockingbird Ln,73071,Oklahoma City,4,
Brickell & Associates PC,,,,Norman,OK,Cleveland,(405) 360-0400,,General,1014 24th Ave NW,73069,Oklahoma City,4,
Brown & & Cullimore Law Firm,,,,Norman,OK,Cleveland,(405) 701-3059,,General,115 S Peters Ave,73069,Oklahoma City,4,
Cannon & Associates Criminal Defense and Family Law,https://jpcannonlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJl1MPcaVpsocRnQ7zptoCn6c,,Norman,OK,Cleveland,(405) 442-4170,,Criminal Defense,303 S Peters Ave Ste 100,73069,Oklahoma City,5,4
Cathleen Jones Cathleen A Attorney,,,,Norman,OK,Cleveland,(405) 573-2001,,General,1125 N Porter Ave,73071,Oklahoma City,4,
Central Law Office PC,,,,Norman,OK,Cleveland,(405) 329-5777,,General,808 24th Ave NW,73069,Oklahoma City,4,
Chapman & Stender Law Group,https://www.chapmanstender.com/,https://www.google.com/maps/place/?q=place_id:ChIJ15XGlZcVsocReUrs3RJ2i2c,,Norman,OK,Cleveland,(405) 299-3337,,Family Law,1820 W Lindsey St Ste 110,73069,Oklahoma City,4,3
Chesley Law Office,,,,Norman,OK,Cleveland,(405) 701-5244,,General,100 E Main St,73069,Oklahoma City,4,
Clean Slate Law,http://cleanslate.law/,https://www.google.com/maps/place/?q=place_id:ChIJARNvzS4XsocRCnX3jF4D9qw,,Norman,OK,Cleveland,(405) 237-8111,contact@cleanslate.law,Criminal Defense,129 W Gray St #224,73069,Oklahoma City,5,
Dewberry Law Firm,https://www.dewberrylawfirm.net/,https://www.google.com/maps/place/?q=place_id:ChIJt537bBFpsocR4P8WWFlTLC4,,Norman,OK,Cleveland,(405) 261-8900,,Estate Planning,2425 Wilcox Dr,73069,Oklahoma City,2,
Dickinson Roy S PC,,,,Norman,OK,Cleveland,(405) 321-3288,,General,2300 McKown Dr,73072,Oklahoma City,4,
Double Horn Injury Law,http://www.doublehorninjurylawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJTz0ACnujoQMRFDijlwns8Nw,,Norman,OK,Cleveland,(405) 329-7644,Terry@tjgarrettlaw.com,Personal Injury,421 E Comanche St Ste B,73071,Oklahoma City,5,
"Douglas J. Smith Law Office, P.C.",https://normanoklahomalawyer.com/,https://www.google.com/maps/place/?q=place_id:ChIJB1-hpdlpsocRYi5WB8nf2sU,,Norman,OK,Cleveland,(405) 360-2660,DJSmithLaw@aol.com,Personal Injury,104 E Eufaula St,73069,Oklahoma City,5,3
"Douglas S. Wall, P.C.",https://dwalllaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJVQF89thpsocRhK5Js-m8N2k,,Norman,OK,Cleveland,(405) 360-4529,,Personal Injury,216 E Eufaula St,73069,Oklahoma City,5,5
Downtown Legal,http://www.downtownlegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJKxJNxNtpsocRBF_-BGlwFSk,,Norman,OK,Cleveland,(405) 310-3465,,Real Estate,207 E Gray St,73069,Oklahoma City,2,4
Elton Jenkins Law,https://eltonjenkinslaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJnYVsOtlpsocRAN7RL-HpO88,,Norman,OK,Cleveland,(405) 217-3623,elton@eltonjenkinslaw.com,Criminal Defense,124 E Main St,73069,Oklahoma City,5,3
English Law Firm,,,,Norman,OK,Cleveland,(405) 321-0314,,General,404 S Peters Ave,73069,Oklahoma City,4,
"Eric P. Warner, PC",,,,Norman,OK,Cleveland,(405) 364-8820,,General,3750 W Main St,73072,Oklahoma City,4,
"Estate Planners for Life - Cain, Cain & Janik, PLLC.",http://estateplannersforlife.com/,https://www.google.com/maps/place/?q=place_id:ChIJXysrAbtpsocRA1W16J5yFeo,,Norman,OK,Cleveland,(405) 364-2246,info@estateplannersforlife.com,Family Law,1770 W Main St,73069,Oklahoma City,4,
"Evan Taylor Law Office, PLLC",http://www.evantaylorlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJJ6ixo9lpsocRdVt29is1pb0,,Norman,OK,Cleveland,(405) 321-1822,,Family Law,102 E Eufaula St,73069,Oklahoma City,4,
Floyd Law Firm,,,,Norman,OK,Cleveland,(405) 364-6660,,General,116 E Main St,73069,Oklahoma City,4,
Forgotson Law Firm,,,,Norman,OK,Cleveland,(405) 590-8324,,General,115 S Peters Ave,73069,Oklahoma City,4,
"Glass & Tabor, LLP",https://glasstaborlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ53ZUl-tCsocRnXWLsSzM_8Y,,Norman,OK,Cleveland,(405) 993-4044,,Personal Injury,1601 36th Ave NW,73072,Oklahoma City,5,
Goddard Ginger D Attorney At Law,,,,Norman,OK,Cleveland,(405) 329-5297,,General,224 W Gray St,73069,Oklahoma City,4,
"HB Law Partners, PLLC",http://www.hblawpartners.com/,https://www.google.com/maps/place/?q=place_id:ChIJmQQl1igXsocRRoZdw9j39QQ,,Norman,OK,Cleveland,(405) 561-2410,info@hblawpartners.com,Personal Injury,480 24th Ave NW #200,73069,Oklahoma City,5,
Hallman & Associates PC,http://www.hallmanlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJP8De11BosocRXaR_ry_bd_k,,Norman,OK,Cleveland,(405) 447-9455,,Estate Planning,2230 McKown Dr,73072,Oklahoma City,2,
Harvey & Associates PC,,,,Norman,OK,Cleveland,(405) 447-4934,,General,3750 W Main St,73072,Oklahoma City,4,
Heiple Law Offices,,,,Norman,OK,Cleveland,(405) 321-0090,,General,218 E Eufaula St,73069,Oklahoma City,4,
Hickman Law Group,http://www.hickmanlawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJH5C6Ki8XsocRGFd9sg3YR-A,,Norman,OK,Cleveland,(405) 605-2375,hickman@hickmanlawgroup.com,Employment Law,330 W Gray St #170,73069,Oklahoma City,3,3
Holly Iker Law Office,,,,Norman,OK,Cleveland,(405) 701-1949,,General,303 South Peters Ave,73069,Oklahoma City,4,
"Hong Law, PLLC",,,,Norman,OK,Cleveland,(405) 996-8127,,General,3913 Pimlico Dr,73072,Oklahoma City,4,
Hopkins Legal Services,,,,Norman,OK,Cleveland,(405) 210-3777,,General,,73153,Oklahoma City,4,
Hutter Law,http://hutterlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJI4_jTtlpsocRQCZAnO8LxE8,,Norman,OK,Cleveland,(405) 579-3939,,Criminal Defense,119 E Main St,73069,Oklahoma City,5,3
Jack Justin Attorney At Law,,,,Norman,OK,Cleveland,(405) 249-1912,,General,,73069,Oklahoma City,4,
Karen M Thomas Attorney At Law,,,,Norman,OK,Cleveland,(405) 928-4159,,General,,73070,Oklahoma City,4,
Kevin J Finlay Attorney at Law,,,,Norman,OK,Cleveland,(405) 310-2300,,General,303 S Peters Ave,73069,Oklahoma City,4,
Koop Law Office,,,,Norman,OK,Cleveland,(405) 217-3363,,General,307 E Eufaula St,73069,Oklahoma City,4,
L. Todd Nalagan,https://www.toddnalagan.com/,https://www.google.com/maps/place/?q=place_id:ChIJKVrs09hpsocRRVqhTgJkjx4,,Norman,OK,Cleveland,(405) 253-4904,,Criminal Defense,3750 W Main St Suite AA,73072,Oklahoma City,5,
Law Office Of Adam Williams,https://www.adamwilliamslaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJpVw_xNtpsocR8QoztBDHrxM,,Norman,OK,Cleveland,(405) 481-4529,,General,116 W Main St,73069,Oklahoma City,4,
Law Office of Dana M Deere,,,,Norman,OK,Cleveland,(405) 701-4998,,General,1818 W Lindsey St,73069,Oklahoma City,4,
Law Office of James M. Levine,,,,Norman,OK,Cleveland,(405) 213-0238,,General,104 W Gray St,73069,Oklahoma City,4,
Law Office of John M. Wylie,,,,Norman,OK,Cleveland,(405) 310-4600,,General,3750 W Main St,73072,Oklahoma City,4,
Law Offices of B David Sisson,https://www.sissonlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_dbqn9tpsocRiiv30E-ro20,,Norman,OK,Cleveland,(405) 447-2521,,Bankruptcy,224 W Gray St Suite 203B,73069,Oklahoma City,2,
"Law Offices of Gary David Quinnett, PLLC",,,,Norman,OK,Cleveland,(405) 312-1331,,General,1800 N Interstate Dr,73072,Oklahoma City,4,
"Law Offices of Keith J. Nedwick, P.C.",https://www.lawofficesofkeithnedwick.com/,https://www.google.com/maps/place/?q=place_id:ChIJB1-hpdlpsocRrxRDClmNsS4,,Norman,OK,Cleveland,(866) 590-8173,,Personal Injury,3750 W Main St Ste AA,73072,Oklahoma City,5,2
Law Offices of Mark S. Cooper,http://www.markcooperlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJNSGUdxlpsocR8apjwb23ga8,,Norman,OK,Cleveland,(405) 292-7600,mc@markcooperlaw.com,Personal Injury,2224 36th Ave NW Suite 110,73072,Oklahoma City,5,6
Law offices of Michael J Corrales,,,,Norman,OK,Cleveland,(405) 321-1529,,General,115 S Peters,73069,Oklahoma City,4,
Legal Aid Services of Oklahoma,,,,Norman,OK,Cleveland,(405) 360-6631,,General,210 E Main St,73069,Oklahoma City,4,
MM Legal Group,,,,Norman,OK,Cleveland,(405) 669-5820,,General,4701 N Porter Ave,73071,Oklahoma City,4,
Mayes Law Firm,,,,Norman,OK,Cleveland,(405) 561-2420,,General,1035 S Berry Rd,73069,Oklahoma City,4,
Merritt & Associates PC,,,,Norman,OK,Cleveland,(405) 236-2222,,General,1714 Barb Dr,73071,Oklahoma City,4,
Michael C. Bell Law Firm,,,,Norman,OK,Cleveland,(405) 360-2018,,General,309 W Main St,73069,Oklahoma City,4,
Mike Patterson Bankruptcy Attorney,,,,Norman,OK,Cleveland,(405) 321-0215,,General,224 W Gray St,73069,Oklahoma City,4,
Morey Stacy Attorney At Law,,,,Norman,OK,Cleveland,(405) 364-3000,,General,4009 Teton Ln,73072,Oklahoma City,4,
Naifeh & Associates PC,,,,Norman,OK,Cleveland,(405) 292-2244,,General,870 Copperfield Dr,73072,Oklahoma City,4,
"Neelam A. Patel, PC",https://patellawokc.com/,https://www.google.com/maps/place/?q=place_id:ChIJrYttuC0XsocRwHzFE7l8VFE,,Norman,OK,Cleveland,(405) 702-4972,,General,1025 SW 4th St Ste 201,73160,Oklahoma City,4,
Nichols Law Firm,https://www.nicholsdixon.com/,https://www.google.com/maps/place/?q=place_id:ChIJO295QdlpsocR1cuRxwWZDvw,,Norman,OK,Cleveland,(405) 294-1511,,Personal Injury,104 E Main St Ste 100,73069,Oklahoma City,5,
