law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Wyandotte District Attorney’s Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30385,Kansas City,KS,Wyandotte,913-573-2851,,General,"710 N 7th St, Ste 10",66101,Kansas City,2,
Attorney Mark Brown,https://midwestip.com,,https://lawyers.justia.com/lawyer/mark-brown-1662728,Bonner Springs,KS,Wyandotte,913-565-2998,rlove@leavenworthlawyer.com,Personal Injury,422,66012,Kansas City,5,
Blevins and Bradbury Inc,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.lawbamba.com%2Flawyer%2F410703%2FKristina%2DBlevins%2DMcCosh%2Dreviews%2Dratings&rut=efaf6975d236404fb8145d5bf6dcfd40ac1872cedce99203c9225e453a76459a,,,Bonner Springs,KS,Wyandotte,913-422-1620,,General,134 N Nettleton,66012,Kansas City,4,1
Ross Nigro,http://www.nigrolawfirm.com/practice-areas/dui-dwi,,,Bonner Springs,KS,Wyandotte,(816) 492-2809,office@nigrolawfirm.com,Criminal Defense,,66102,Kansas City,5,
Dempsey Kingsland Osteen,https://www.dko-law.com,,,Bonner Springs,KS,Wyandotte,816-484-3776,,Personal Injury,150 Million Secured for Our Clients Over the Past 25 Years,66102,Kansas City,5,
Dunn Bill,,https://www.google.com/maps/place/?q=place_id:ChIJBXWHN-OPwIcR8BOHSC2kuXM,,Bonner Springs,KS,Wyandotte,(913) 422-8677,,Criminal Defense,135 Oak St,66012,Kansas City,5,
Kansas City Attorney Belinda Harrison,http://blharrisonlaw.com/home.html,,,Bonner Springs,KS,Wyandotte,816-759-0207,,Family Law,204 W Linwood Blvd Kansas,66102,Kansas City,4,
Perry Trent,http://www.perrytrent.com,,,Bonner Springs,KS,Wyandotte,(913) 441-3411,,Family Law,13100 Kansas Ave,66012,Kansas City,4,
Richard T Bryant,https://www.richardbryantlaw.com/,,,Bonner Springs,KS,Wyandotte,(816) 399-5218,andrewtalge@gmail.com,Criminal Defense,"1111 Main, Ste 750",66102,Kansas City,5,
attorney profile - kevin hoop,https://www.kevinhooplaw.com/attorney-profile,,,Bonner Springs,KS,Wyandotte,,khoop@kevinhooplaw.com,Personal Injury,,66102,Kansas City,5,
Aaron Russell Schuman,,,,Kansas City,KS,Wyandotte,(816) 382-6374,,Litigation,,66101,Kansas City,1,
Abogada Denise Ramos,http://abogadadenise.com/,https://www.google.com/maps/place/?q=place_id:ChIJm21qRTjuwIcRqqOat2413E4,,Kansas City,KS,Wyandotte,(913) 202-6922,denise@abogadadenise.com,Immigration,1505 Minnesota Ave,66102,Kansas City,2,
Abogados Accidentes KC,http://abogadosaccidenteskc.com/,https://www.google.com/maps/place/?q=place_id:ChIJqWR3jAzuwIcRYoOGIDZ_rbo,,Kansas City,KS,Wyandotte,(816) 282-2222,,Personal Injury,2544 W 47th St,66103,Kansas City,5,3
Aimee Michelle Gromowsky,,,,Kansas City,KS,Wyandotte,(816) 207-2766,,Criminal Defense,,66101,Kansas City,5,
Alexander Conrad Melin,,,,Kansas City,KS,Wyandotte,(816) 203-0055,,Personal Injury,,66101,Kansas City,5,
Andrew Haynes McCue,,,,Kansas City,KS,Wyandotte,(816) 203-1157,,Litigation,,66101,Kansas City,1,
Andrew Ky Haynes,,,,Kansas City,KS,Wyandotte,(816) 207-4668,,Employment Law,,66101,Kansas City,3,
Andrew Stephen Talge,,,,Kansas City,KS,Wyandotte,(816) 382-6853,,Criminal Defense,,66101,Kansas City,5,
Attorney Hugo Martinez,http://www.hugolawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJjQw-5zfwwIcRbCj78B6CJSo,,Kansas City,KS,Wyandotte,(816) 888-0518,info@hugolawoffice.com,Immigration,719 State Ave,66101,Kansas City,2,
Aylward-Kalb Patricia,,https://www.google.com/maps/place/?q=place_id:ChIJewGFG3LxwIcRQTTfTVd7GAs,,Kansas City,KS,Wyandotte,(913) 371-2299,,Criminal Defense,816 Ann Ave,66101,Kansas City,5,
Beth Romans Bower,https://www.bclplaw.com/en-GB/people/beth-romans-bower.html,,,Kansas City,KS,Wyandotte,816-391-7663,beth.bower@bclplaw.com,Employment Law,1,66105,Kansas City,3,
Bradley David McCormack,,,,Kansas City,KS,Wyandotte,(816) 379-7159,,Bankruptcy,,66101,Kansas City,2,
Brandon L. Kane,https://www.kcticketlaw.com,,,Kansas City,KS,Wyandotte,816-229-2708,brandon@bkanelaw.com,Criminal Defense,"1100 Main, St, Ste 2820",66101,Kansas City,5,
Brian Joseph Madden,,,,Kansas City,KS,Wyandotte,(816) 203-1737,,Personal Injury,,66101,Kansas City,5,
Bright Bankruptcy Firm,http://www.brightbk.com/kansas-city-bankruptcy-attorney-2/,,,Kansas City,KS,Wyandotte,(913) 298-1600,,General,1333 Meadowlark Ln,66102,Kansas City,4,
Bryan Cox,,,,Kansas City,KS,Wyandotte,816-292-7021,bryan@sternberg-law.com,Criminal Defense,"2323 Grand, suite 1100",66101,Kansas City,5,
Burton Scott Haigh,,,,Kansas City,KS,Wyandotte,(816) 379-7201,,Personal Injury,,66101,Kansas City,5,
Charles Ryan Conor Regan,,,,Kansas City,KS,Wyandotte,(816) 203-1498,,Personal Injury,,66101,Kansas City,5,
Cheryl Pilate,,,,Kansas City,KS,Wyandotte,816-471-6694,,Criminal Defense,926 Cherry,66101,Kansas City,5,
Christen Dawn Shepherd,,,,Kansas City,KS,Wyandotte,(816) 307-0375,,Family Law,,66101,Kansas City,4,
Christopher Marshall McHugh,,,,Kansas City,KS,Wyandotte,(816) 382-6338,,Business Law,,66101,Kansas City,2,
