law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Kristy Perry, PLLC",,https://www.google.com/maps/place/?q=place_id:ChIJSWyuHMz_sYcRNK61SylCpGA,,Cashion,OK,Logan,(918) 373-0882,,General,30626 Aaron Way,73016,Oklahoma City,4,
Lorance Steven R,,https://www.google.com/maps/place/?q=place_id:ChIJjU2CA7zosYcRw_-_z3o-Y9g,,Crescent,OK,Logan,(405) 969-3392,,General,112 N Grand St,73028,Oklahoma City,4,
Allen Vicky J Attorney At Law,,,,Guthrie,OK,Logan,(405) 282-6100,,General,108 S Division St,73044,Oklahoma City,4,
Bennett James D,http://www.jamesbennettlaw.com,https://www.google.com/maps/place/?q=place_id:ChIJE4XL7LmSsYcRNyk0yj6j6cE,,Guthrie,OK,Logan,(405) 282-4040,,General,213 E Oklahoma Ave,73044,Oklahoma City,4,
Davis Frank W Atty,http://frankdavis.net,,,Guthrie,OK,Logan,(405) 282-1478,,General,2121 N Walnut St,73044,Oklahoma City,4,
"Duel Law, PLLC",https://www.duellaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJw03JyX2TsYcRsb3Bl_Kvz6E,,Guthrie,OK,Logan,(405) 466-7529,collin.duel@duellaw.com,Personal Injury,213 E Oklahoma Ave,73044,Oklahoma City,5,2
Feuguay Law Office,,,,Guthrie,OK,Logan,(405) 282-7677,smueller@oktitleattorney.com,Personal Injury,108 S Division St,73044,Oklahoma City,5,
Hirzel,https://www.jeffhirzelattorney.com,,,Guthrie,OK,Logan,(405) 282-5355,,General,119 S Broad St,73044,Oklahoma City,4,
Hood David,,https://www.google.com/maps/place/?q=place_id:ChIJJUGMOLmSsYcR5iI9w3cJK3k,,Guthrie,OK,Logan,(405) 282-4448,,General,121 S Broad St,73044,Oklahoma City,4,
King Cusher & Winningham,,https://www.google.com/maps/place/?q=place_id:ChIJD2Waj6-TsYcRLM0LFebG1NQ,,Guthrie,OK,Logan,(405) 282-4000,,General,127 S Broad St,73044,Oklahoma City,4,
Laurence K Donahoe Attorney,,,,Guthrie,OK,Logan,(405) 282-1225,,General,108 S Division St,73044,Oklahoma City,4,
"Law Office of Kevin R. Kemper, PLLC",,https://www.google.com/maps/place/?q=place_id:ChIJeXZzJbSTsYcRsMOeE3bjZMY,,Guthrie,OK,Logan,(405) 877-3043,,General,114 W Harrison Ave Ste 201,73044,Oklahoma City,4,
"Mary Hinkle, Attorney-at-Law",https://www.lawyer4criminaldefense.com/criminal-defense-lawyers/listing/4ff65235bf32655e2e1e1d7e9c33830e/,,,Guthrie,OK,Logan,(405) 431-0772,,Criminal Defense,107 E Oklahoma Ave,73044,Oklahoma City,5,
Mc Kinney's Law Office,http://www.mckinneyslawoffice.com,https://www.google.com/maps/place/?q=place_id:ChIJFdEVKsSSsYcR0ARid-VfpQQ,,Guthrie,OK,Logan,(405) 282-5353,,General,923 N Wentz St,73044,Oklahoma City,4,
Sid Brown Attorney,http://sidbrownattorneyatlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJvQbTarmSsYcRwWaD0yUJ2gs,,Guthrie,OK,Logan,(405) 293-0030,,General,213 E Oklahoma Ave,73044,Oklahoma City,4,
