law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Hunter Law Office, PLLC",,https://www.google.com/maps/place/?q=place_id:ChIJAQDUO6l8tocRD84Fha1Zrqk,,Coweta,OK,Wagoner,(918) 279-0041,,General,217 S Broadway,74429,Tulsa,4,
"Rebecca Wood Hunter, Pllc",,https://www.google.com/maps/place/?q=place_id:ChIJ7TAZOql8tocROTbBc8RxuMw,,Coweta,OK,Wagoner,,,General,217 S Broadway,74429,Tulsa,4,
Rice Law Office PLLC,http://www.ricelawok.com/,https://www.google.com/maps/place/?q=place_id:ChIJd5_B4qt8tocR53TDfBrzM4U,,Coweta,OK,Wagoner,(918) 486-6456,,Family Law,205 S Broadway,74429,Tulsa,4,
Attorney W. Grant Huskey,,,,Wagoner,OK,Wagoner,(918) 485-9506,,General,109 N Casaver Ave,74467,Tulsa,4,
BJ Baker Trial Attorney,http://www.bjbaker-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJM4khq_f7yYcRgnPUC55Hhpw,,Wagoner,OK,Wagoner,(918) 456-5016,bjbaker@bjbaker-law.com,DUI,303 W Keetoowah St,74464,Tulsa,5,
Ben Chapman Law Office,,,,Wagoner,OK,Wagoner,(918) 485-5551,,General,320 E Cherokee St,74467,Tulsa,4,
"Berry & Otterson, PLLC",https://www.berryandotterson.com/,https://www.google.com/maps/place/?q=place_id:ChIJo2NZUPf7yYcRnZzdzf_bVz4,,Wagoner,OK,Wagoner,(918) 431-0090,injuries@berryandotterson.com,Personal Injury,501 N Muskogee Ave,74464,Tulsa,5,3
Bigby Law Office,http://www.bigbylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJe8_66fn7yYcRJK8r5V1b2TY,,Wagoner,OK,Wagoner,(918) 456-1782,,Bankruptcy,429 S Muskogee Ave,74464,Tulsa,2,
"Cannonie Law Office, PLLC",https://www.cannonie.lawyer/,https://www.google.com/maps/place/?q=place_id:ChIJm01oGoP7yYcRX9vFlrRNhyQ,,Wagoner,OK,Wagoner,(918) 453-8128,,Criminal Defense,104 S Muskogee Ave,74464,Tulsa,5,
Cosby Law Firm,,https://www.google.com/maps/place/?q=place_id:ChIJ_6YdNff7yYcR6mwCpOfpHY8,,Wagoner,OK,Wagoner,(918) 458-0069,,General,210 S Muskogee Ave,74464,Tulsa,4,
"Deanna Wales, Attorney at Law",,https://www.google.com/maps/place/?q=place_id:ChIJx3QMNff7yYcR7OUGzTPFrB8,,Wagoner,OK,Wagoner,(918) 456-9390,,General,1702 Park Hill Rd,74464,Tulsa,4,
"Duke Law Firm, PLLC",,https://www.google.com/maps/place/?q=place_id:ChIJIwfrvvb7yYcRYN2y0BADLW4,,Wagoner,OK,Wagoner,(918) 456-0860,,Personal Injury,133 N Muskogee Ave,74464,Tulsa,5,
F Wes Owens Attorney,,,,Wagoner,OK,Wagoner,(918) 485-7113,,General,611-C West Cherokee St,74467,Tulsa,4,
"Green Country Law Group, LLLP",https://gclawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJ31C5tvb7yYcRM1THDM1Yjdk,,Wagoner,OK,Wagoner,(918) 842-8377,,Personal Injury,205 W Shawnee St,74464,Tulsa,5,
"Hammons Hamby & Price, PLLC",http://www.hhplawok.com/,https://www.google.com/maps/place/?q=place_id:ChIJ6bfoVNb7yYcRhTbOc0oGidg,,Wagoner,OK,Wagoner,(918) 456-5506,MRP@HammonsPrice.com,Personal Injury,303 W Keetoowah St,74464,Tulsa,5,
Hicks & Johnson Pc,,https://www.google.com/maps/place/?q=place_id:ChIJazyER10NtocR-iNTsrOgMEQ,,Wagoner,OK,Wagoner,(918) 485-4515,,General,318 E Cherokee St,74467,Tulsa,4,
J Lance Hopkins Attorney-Law,,https://www.google.com/maps/place/?q=place_id:ChIJM-DXG_f7yYcR4hZuGCB-kXw,,Wagoner,OK,Wagoner,(918) 456-8603,,General,219 W Keetoowah St,74464,Tulsa,4,
"J. M. Fields Law Firm, PLLC",,https://www.google.com/maps/place/?q=place_id:ChIJA2nBQFANtocRs7bbuddTTNA,,Wagoner,OK,Wagoner,(918) 216-9614,,General,603 W Cherokee St,74467,Tulsa,4,
Jackson Crystal R,http://crystaljacksonlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJTRVbG_f7yYcR7zFJM8XFUM4,,Wagoner,OK,Wagoner,(918) 458-5454,crystaljacksonlaw@att.net,Criminal Defense,239 W Keetoowah St,74464,Tulsa,5,
