law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
.,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
A'twar Yolaunda Patrice Wilkins,,,,,TX,Dallas,214-600-4595,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory; State Bar self-reported website
A. Michael Warnecke,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
A. Miles,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
ABR PLLC,https://abrpllc.com/,,,,TX,Dallas,918-607-7062,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory; State Bar self-reported website
"ALA Law, PLLC",,,,,TX,Dallas,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Aaron Bayliss Michelsohn,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Aaron Dohanich,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Aaron Jozef Savelsbergh,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Abbey Leigh Payne,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Abby Danielle Feeney,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Abdullah Zaid Khalil,,,,,TX,Dallas,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-10,State Bar of Texas Member Directory
Abel Bouchan Lozano,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Abtin Samadi,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
"Accelerate Investment Partners, LLC",,,,,TX,Dallas,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Action Behavior Centers - ABA Therapy for Autism,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adam Abdulkaf Edris,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adam Corey Ragan,,,,,TX,Dallas,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-10,State Bar of Texas Member Directory
Adam David Awad,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adam Michael Zack,,,,,TX,Dallas,214-608-7839,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adam Stroud Tunnell,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Addison Elizabeth Cathey,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Ademide A. Adeoye,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adeyemi Akorede Adewuyi,,,,,TX,Dallas,,,Real Estate,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Adi Soto Del Moral,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adil Saleem,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adjunct Law Professor,,,,,TX,Dallas,214-707-1486,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adnan Bajramovic,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adrian Benjamin Allen,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adrian Jural Gray,,,,,TX,Dallas,817-691-2689,,Estate Planning,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Adriana F. Quinonez Garcia,,,,,TX,Dallas,,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Adriana Santiago,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Adrienne Ashley Freeman,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Affirm,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Ahmed C Hassan,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Aimee Lynn Williams-Ramey,,,,,TX,Dallas,214-682-7662,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alaina Kaye Brooks,,,,,TX,Dallas,214-577-5276,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alan Craig Kazdoy,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory; State Bar self-reported website
Alan Edward Wright,,,,,TX,Dallas,214-738-4653,,Employment Law,,,Dallas-Fort Worth,3,1,2026-09-10,State Bar of Texas Member Directory
Alan Ferris Arnold,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alan G. Harvey,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alberto Moriel,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alejandra Garcia Castro,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alejandro J. Cantu,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alena Asim Khan,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alessandra V. Gualtieri,,,,,TX,Dallas,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-10,State Bar of Texas Member Directory
Alexa Giselle Flores,,,,,TX,Dallas,,,Immigration,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Alexa Lauren Nichols,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alexander Anthony Waldrop,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alexander Bubenko McLean,,,,,TX,Dallas,,,Civil Litigation,,,Dallas-Fort Worth,3,1,2026-09-10,State Bar of Texas Member Directory
Alexander Dean Jablonski,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alexander John Bouthilet,,,,,TX,Dallas,,,Bankruptcy,,,Dallas-Fort Worth,2,1,2026-09-10,State Bar of Texas Member Directory
Alexander Lafayette Cody Kessler,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alexander Robert Bartlow,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
Alexander Robert Myers,,,,,TX,Dallas,,,General,,,Dallas-Fort Worth,4,1,2026-09-10,State Bar of Texas Member Directory
