law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Leavenworth County Attorney's Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30696,Leavenworth,KS,Leavenworth,913-648-0899,,General,"601 S 3rd St, Ste 3069",66048,Kansas City,2,
Intellectual Property Attorney Kansas,https://needanattorney.net/intellectual-property-attorney/kansas,,,Basehor,KS,Leavenworth,(469) 708-7660,help@needanattorney.net,Workers' Compensation,,,Kansas City,5,
Lansing Low Cost Bankruptcy Center,https://www.lansinglowcostbankruptcy.com,,,Lansing,KS,Leavenworth,231-638-4320,,DUI,0 LOW DOWN EASY PAYMENT PLANS FOR ATTORNEY FEES BASED ON YOUR ABILITY,,Kansas City,5,
Attorney Mark Brown,https://midwestip.com,,,Leavenworth,KS,Leavenworth,913-565-2998,rlove@leavenworthlawyer.com,Personal Injury,422,66048,Kansas City,5,
Bates Ronald G,http://www.clothierlaw.net,,,Leavenworth,KS,Leavenworth,(913) 682-8882,,General,529 Delaware St,66048,Kansas City,4,
"Douglas G Waters, Jr PA",http://www.douglaswatersattorney.com,,,Leavenworth,KS,Leavenworth,(913) 682-7343,,General,433 Shawnee St,66048,Kansas City,4,
"Gary A. Nelson, PA",http://garyanelson.com/,,https://lawyers.justia.com/lawyer/gary-nelson-923808,Leavenworth,KS,Leavenworth,913-758-9260,,Personal Injury,2604 S. 4th St,66048,Kansas City,5,1
Gary Fuller Attorney,https://rymap.org/business/fuller-gary-l-9rydzd,,,Leavenworth,KS,Leavenworth,913-682-5227,,General,529 Delaware St,66048,Kansas City,4,1
Tom Fitch,https://www.fitch-stahlelaw.com/attorney-thomas-fitch,,,Leavenworth,KS,Leavenworth,402-494-3012,tom.fitch@fitch-stahle.com,Personal Injury,3 children.,,Kansas City,4,
Patrick Cahill,,,https://lawyers.justia.com/lawyer/patrick-cahill-922944,Leavenworth,KS,Leavenworth,(913) 684-1053,,General,1025 Forest Hill Ln,66048,Kansas City,2,
David King,,,https://lawyers.justia.com/lawyer/david-king-919436,Leavenworth,KS,Leavenworth,(913) 684-0700,,General,601 S 3rd St,66048,Kansas City,2,
Michael J Price,,,,Basehor,KS,Leavenworth,913-980-5913,,General,3200 N 157th St,66007,Kansas City,4,1
Jill Anne Jenkins,,,https://www.avvo.com/attorneys/66052-ks-jill-jenkins-4373980.html,Linwood,KS,Leavenworth,(785) 640-1922,,General,18462 Stillwell Rd,66052-4617,Kansas City,2,
Terri L. Harris,,,,Leavenworth,KS,Leavenworth,(913) 727-1729,,General,529 Delaware St,66048,Kansas City,4,
Aimee Muscato Bateman,,,,Leavenworth,KS,Leavenworth,,,"Business Law, Criminal Defense, Military Law",422 Delaware Street,,Kansas City,5,
Sarah Kathryn Ikena,,,,Leavenworth,KS,Leavenworth,,,Criminal Defense,"205 S 5th Street, STE 13",,Kansas City,5,
Geoffrey Clayton Sonntag,,,,Leavenworth,KS,Leavenworth,,,"Criminal Defense, Litigation",2300 S 4th St,,Kansas City,5,
Joe Bill Kobs,,,,Leavenworth,KS,Leavenworth,,,Estate Planning,"520 S. 4th Street, Suite 101",,Kansas City,2,
Michael Jones,,,https://lawyers.justia.com/lawyer/michael-jones-918596,Leavenworth,KS,Leavenworth,(913) 758-1447,,General,413 Cherokee St,66048,Kansas City,2,
Danny Wiley,,,https://lawyers.justia.com/lawyer/danny-wiley-918484,Leavenworth,KS,Leavenworth,(913) 682-5894,,General,119 Delaware St,66048,Kansas City,2,
Joan Marie Lowdon,,,,Leavenworth,KS,Leavenworth,,,General,,,Kansas City,4,
Pamela D. Campbell Burton,,,,Leavenworth,KS,Leavenworth,,,"Estate Planning, Litigation, Real Estate","422 Delaware St, Po Box 10",,Kansas City,4,
Pamela Campbell Burton,,,https://lawyers.justia.com/lawyer/pamela-campbell-burton-919773,Leavenworth,KS,Leavenworth,(913) 682-5894,,General,119 Delaware St,66048,Kansas City,2,
Cheryl Reinhardt,,,https://lawyers.justia.com/lawyer/cheryl-reinhardt-922678,Leavenworth,KS,Leavenworth,(913) 651-3890,,General,3030 Wilson Ave,66048,Kansas City,2,
Peter Robertson,,,https://lawyers.justia.com/lawyer/peter-robertson-1669506,Leavenworth,KS,Leavenworth,(913) 565-2998,,Personal Injury,422 Delaware Street,66048,Kansas City,5,
Jordan W. Pemble,,,,Leavenworth,KS,Leavenworth,,,"Bankruptcy, Estate Planning, Family Law","10, 313 S. 2nd Street",,Kansas City,4,
Gerald R. Kuckelman,,,,Leavenworth,KS,Leavenworth,,,Civil Rights,"601 S 3rd St, Leavenworth Justice Center",,Kansas City,3,
Esther Elaine Halley,,,,Leavenworth,KS,Leavenworth,,,General,1046,,Kansas City,4,
Carol Gottschalk Hall,,,,Leavenworth,KS,Leavenworth,,,Family Law,,,Kansas City,4,
Sarah Catherine Sykes,,,,Leavenworth,KS,Leavenworth,,,General,422 Delaware St,,Kansas City,4,
Mollie Rose Hill,,,,Leavenworth,KS,Leavenworth,,,General,601 S 3rd St Ste 2007,,Kansas City,4,
Misty Simmone Brown Polo,,,,Leavenworth,KS,Leavenworth,,,General,,,Kansas City,4,
Christopher William Lyon,,,,Leavenworth,KS,Leavenworth,,,General,601 S 3rd St Ste 3069,,Kansas City,4,
Charles Joseph Osborn,,,,Leavenworth,KS,Leavenworth,,,"Criminal Defense, Estate Planning, Family Law",529 Delaware St,,Kansas City,5,
Clinton W Lee,,,,Leavenworth,KS,Leavenworth,,,General,601 S 3rd St Ste 3051,,Kansas City,4,
