law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers,date_pulled,source
Aaron Clifford McCauley,,,,,TX,Bexar,210-452-8175,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Aaron J. Sandoval,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Abby Norat-Espinoza,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Abigail Nicole Sanders,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Abigail Townsend Adams,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Adam Karl Ross Leitch,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Adam M. Williams,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Adeola Janet Adeleke,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Adriaan Tieleman Jansse,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Adrian Cortes Lujan,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
"Adriana Bhatt-Kriz Law, PLLC",http://abk-law.com/,,,,TX,Bexar,210-239-7838,attorney@abk-law.com,Immigration,,,San Antonio,2,1,2026-09-10,State Bar of Texas Member Directory; State Bar self-reported website
Adriana Nicole Hernandez,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Aimee Martika Keck,,,,,TX,Bexar,,,Employment Law,,,San Antonio,3,1,2026-09-10,State Bar of Texas Member Directory
Alan E. Battaglia,,,,,TX,Bexar,,,Criminal Defense,,,San Antonio,5,1,2026-09-10,State Bar of Texas Member Directory
Albert W. Hartman,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Albert Yzaguirre Solis,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alberto T. Garcia,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alec Robert Puente,,,,,TX,Bexar,512-473-2646,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alejandra I. Villarreal,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alejandro Aparicio,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alejandro Frank Cardone,,,,,TX,Bexar,,,Estate Planning,,,San Antonio,2,1,2026-09-10,State Bar of Texas Member Directory
"Alexa L. Moore Law, PLLC",,,,,TX,Bexar,210-548-5137,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alexander Mohamed Beltaifa,,,,,TX,Bexar,,,Personal Injury,,,San Antonio,5,1,2026-09-10,State Bar of Texas Member Directory
Alexander Steven Vandewalle,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alexandra Grace Tricarico,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alexandra Kathreen Jackson,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alexandria Marisa Boggess,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alexis Ann Adams,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alexis Catherine O'Connor,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alison Roy,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Allan K. Butcher,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Allan K. Butcher,,,,,TX,Bexar,512-423-7144,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Allison Marie Long,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Alma Delia Ruiz,,,,,TX,Bexar,,,Workers' Compensation,,,San Antonio,5,1,2026-09-10,State Bar of Texas Member Directory
"Almanza, Blackburn, Dickie & Mitchell, LLP",,,,,TX,Bexar,,,Employment Law,,,San Antonio,3,1,2026-09-10,State Bar of Texas Member Directory
Alysha Travis Bissell,,,,,TX,Bexar,,,Criminal Defense,,,San Antonio,5,1,2026-09-10,State Bar of Texas Member Directory
Alyx Irene Gonzales,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Amanda Korinne Roming,,,,,TX,Bexar,,,Criminal Defense,,,San Antonio,5,1,2026-09-10,State Bar of Texas Member Directory
Amanda Marie O'Donnell Viera,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Amanda Sophia Bernier,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Amber Nicole Navarrete Gonzalez,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Ameyali Lorena Sanchez,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Amy Christina Gurecky,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Amy Elizabeth Samples,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Amy Lisenby Perry,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Amy Rohde Leslie,,,,,TX,Bexar,210-213-6208,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Ana Luisa Zabalgoitia,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Ana Paula Rocha,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
Anastacia Gloria Ochoa,,,,,TX,Bexar,,,General,,,San Antonio,4,1,2026-09-10,State Bar of Texas Member Directory
