law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"AB LEGAL, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=28646,El Dorado,KS,Butler,(316) 251-0924,,General,111 N. Main,67042,Wichita,2,
Cami R. Baker & Associates,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22267,Augusta,KS,Butler,(316) 775-5418,,General,526 State St,67010,Wichita,2,
"James L Hargrove, Attorney",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8889,El Dorado,KS,Butler,(316) 321-2802,,General,PO Box 31 115 W Pine Ave,67042,Wichita,2,
Butler County Judicial Center,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10439,El Dorado,KS,Butler,(316) 322-4356,,General,201 W Pine Ste D,67042,Wichita,2,
Law Office of David A. Hawley,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14644,Andover,KS,Butler,(316) 264-9200,,General,1400 Terradyne Dr Ste 319,67002,Wichita,2,
"Butler County, Kansas",,,https://directory-kard.kscourts.gov/Home/Details?regNum=12838,El Dorado,KS,Butler,(316) 322-4300,,General,205 W Central Ave 4th Fl,67042,Wichita,2,
Davis Manley & Lane LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20453,El Dorado,KS,Butler,(316) 321-4920,,General,116 N. Star,67042,Wichita,2,
"Darren K. Patterson, Attorney At Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=14207,El Dorado,KS,Butler,(316) 322-7700,,General,118 W Pine Ave,67042,Wichita,2,
Butler County District Judge,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14433,El Dorado,KS,Butler,(316) 322-4396,,General,201 W. Pine Ste A,67042,Wichita,2,
13 Ranch,,,https://directory-kard.kscourts.gov/Home/Details?regNum=6711,Andover,KS,Butler,(316) 258-0114,,General,1111 W. 13th St,67002,Wichita,2,
Kansas Senior Judge,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10778,El Dorado,KS,Butler,(316) 322-5041,,General,1840 Terrace Dr,67042,Wichita,2,
"James D. Watson, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=18797,Eureka,KS,Butler,(620) 583-5778,,General,306 W 3rd St - PO Box 309,67045,Wichita,2,
James R. Watts LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19253,El Dorado,KS,Butler,(316) 452-5640,,General,218A West Central,67042,Wichita,2,
Connell & Connell,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9923,El Dorado,KS,Butler,(316) 321-4300,,General,P.O. Box 6,67042,Wichita,2,
Cooper Law Offices LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=20347,Andover,KS,Butler,(316) 833-1154,,General,"1145 N. Andover Rd, Ste 107",67002,Wichita,2,
Eicher Holistic Legal Counsel,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12996,Andover,KS,Butler,(316) 737-7382,,General,P.O. Box 515,67002,Wichita,2,
McClendon Law Firm LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29554,Eureka,KS,Butler,(620) 222-0107,,General,402 N Main St,67045,Wichita,2,
T R Mc Lemore Law Chartered,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17519,Andover,KS,Butler,(316) 613-2000,,General,PO Box 905,67002,Wichita,2,
Law Office Of Keith Richey,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9416,Andover,KS,Butler,(316) 267-6800,,General,403 E Crescent Lakes Dr,67002-9356,Wichita,2,
THE DUDLEY LAW FIRM LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=21582,Douglass,KS,Butler,(316) 746-3969,,General,23438 SW Pilot Point Rd,67039,Wichita,2,
Law Office of William J. Fields,,,https://directory-kard.kscourts.gov/Home/Details?regNum=11310,Andover,KS,Butler,(316) 641-5355,,General,PO Box 224,67002-0224,Wichita,2,
Legal Serv For Prisoners Inc.,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8071,El Dorado,KS,Butler,(316) 789-1826,,General,PO Box 311,67042,Wichita,2,
Law Office Of Seth Daniel Meyer,,,https://directory-kard.kscourts.gov/Home/Details?regNum=22167,Potwin,KS,Butler,(620) 273-6333,,General,PO Box 279,67123,Wichita,2,
Mary Ann Becker Shirley,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14525,Eureka,KS,Butler,(620) 583-6844,,General,504 N Main St,67045-1316,Wichita,2,
Butler County Atty's Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24156,El Dorado,KS,Butler,(316) 321-6999,,General,201 W Pine,67042,Wichita,2,
James I Murfin Atty At Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13500,El Dorado,KS,Butler,(316) 322-3557,,General,116 W Pine Ste 112 P.O. Box 7,67042,Wichita,2,
"Richard C. King, Attorney At Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8919,El Dorado,KS,Butler,(316) 377-0281,,General,P.O. Box 111,67042,Wichita,2,
James Long Attorney At Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13728,Andover,KS,Butler,(316) 265-2689,,General,744 N Bramerton,67002,Wichita,2,
"D. P. Smith, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=28642,Andover,KS,Butler,(316) 202-0227,,General,PO Box 753,67002,Wichita,2,
