law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Garcia & Antosh LLP,,,https://directory-kard.kscourts.gov/Home/Details?regNum=21334,Dodge City,KS,Ford,(620) 225-7400,,General,1401 Central Ave,67801,,2,
Bangerter Law PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14527,Dodge City,KS,Ford,(620) 339-4115,,General,PO Box 1118,67801,,2,
"Judith E.P. Cagle, Attorney At Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=15012,Dodge City,KS,Ford,(913) 832-3614,,General,2309 Kerri Dr,67801,,2,
Warrior Lawyers International,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13302,Dodge City,KS,Ford,(620) 371-7600,,General,602 N Second Ave,67801,,2,
"Kennedy Berkley, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30271,Dodge City,KS,Ford,(620) 523-1148,,General,"2010 Central Ave, Ste A",67801,,2,
"Harman Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=22084,Dodge City,KS,Ford,(620) 910-1188,,General,P.O. Box 134,67801,,2,
"Dawn P Hayes, LC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=18776,Dodge City,KS,Ford,(620) 225-0579,,General,P.O. Box 1695,67801,,2,
"Kerbs Law Office, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=13854,Dodge City,KS,Ford,(620) 225-0238,,General,PO Box 1473,67801,,2,
Rebein Brothers PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27548,Dodge City,KS,Ford,(620) 227-8126,,General,810 Frontview,67801,,2,
Mahieu Elder Law PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=19324,Dodge City,KS,Ford,(620) 225-6789,,General,100 Military Ave Suite 112,67801,,2,
"Williams Malone, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8642,Dodge City,KS,Ford,(620) 225-4168,,General,P.O. Box 39,67801,,2,
"Davis & McCann, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=23908,Dodge City,KS,Ford,(620) 225-1674,,General,2300 1st Ave,67801,,2,
Podrebarac Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13001,Dodge City,KS,Ford,(620) 371-7337,,General,"100 Military Ave Ste 211, PO Box 777",67801,,2,
David H. Snapp LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10769,Dodge City,KS,Ford,(620) 225-5051,,General,"100 Military Ave, Ste 204",67801-4945,,2,
Doll Law Firm LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24703,Dodge City,KS,Ford,(620) 227-9889,,General,206 W Wyatt Earp,67801,,2,
Kite Law Firm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=18765,Dodge City,KS,Ford,(620) 371-5483,,General,808 W McArtor Rd PO Box 22,67801,,2,
YoungWilliams,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29759,Dodge City,KS,Ford,(620) 312-9416,,General,"100 Military Plz, Ste 101",67801,,2,
Daniel L. Love,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9218,Dodge City,KS,Ford,(620) 770-9111,,General,"100 Military Ave, Ste 214",67801,,2,
LPL-Ann Frigon Financial,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10643,Dodge City,KS,Ford,(620) 225-2999,,General,"1206 W Frontview St, Ste 210",67801,,2,
LoosliLaw,,,https://directory-kard.kscourts.gov/Home/Details?regNum=29022,Dodge City,KS,Ford,(703) 988-1848,,General,PO Box 963,67801,,2,
Voss Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=5053,Dodge City,KS,Ford,(620) 225-6041,,General,Box 1086,67801,,2,
