law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Bass Law El Reno,http://www.basslaw.net/,https://www.google.com/maps/place/?q=place_id:ChIJsYzu3TH7rYcRardgZYX2SDo,,El Reno,OK,Canadian,(405) 262-4040,,Family Law,104 N Rock Island Ave,73036,Oklahoma City,4,
Boling Tammy S,,https://www.google.com/maps/place/?q=place_id:ChIJPchn9TH7rYcRjh9CF9gGcBk,,El Reno,OK,Canadian,(405) 262-1101,,General,203 N Bickford Ave,73036,Oklahoma City,4,
CUDJO'S BUSINESS LAW FIRM LLP,,https://www.google.com/maps/place/?q=place_id:ChIJ-e6DnjP7rYcRWzxi5pjAPkw,,El Reno,OK,Canadian,(405) 400-3714,,General,601 N Evans Ave,73036,Oklahoma City,4,
Cooksey Cole Law Firm,,,,El Reno,OK,Canadian,(405) 422-5175,,General,,73036,Oklahoma City,4,
David H Halley,,https://www.google.com/maps/place/?q=place_id:ChIJZa7pIS77rYcRDcdoAqFDId0,,El Reno,OK,Canadian,(405) 262-7800,,General,107 S Rock Island Ave,73036,Oklahoma City,4,
Haley Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJ6RquJjL7rYcRXn3m2vAOUS0,,El Reno,OK,Canadian,(405) 262-7100,,General,219 N Bickford Ave,73036,Oklahoma City,4,
Handley Fletcher Dal Jr Atty,,https://www.google.com/maps/place/?q=place_id:ChIJh-_c7C77rYcRrq-7FM3Nl1U,,El Reno,OK,Canadian,(405) 262-3502,,Family Law,421 S Rock Island Ave,73036,Oklahoma City,4,
Indian Affairs Bureau Law,,https://www.google.com/maps/place/?q=place_id:ChIJ3bVe4MT6rYcRUjdAsLLQxR8,,El Reno,OK,Canadian,(405) 262-4814,,General,1635 OK-66,73036,Oklahoma City,4,
Kenneth Dominic Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJIZ8b4TH7rYcRmW-u2iTPUZs,,El Reno,OK,Canadian,(405) 295-2929,,General,100 N Rock Island Ave,73036,Oklahoma City,4,
Mc Cann Law Office,http://www.semccannlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJv1-k4DH7rYcRBxlKMIQJVK8,,El Reno,OK,Canadian,(405) 262-8100,scott@semccannlaw.com,Personal Injury,100 N Rock Island Ave # A,73036,Oklahoma City,5,
Perkins Law Firm PLLC,http://www.perkins-lawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJlWrhSfj7rYcRrOVNidp0JAQ,,El Reno,OK,Canadian,(405) 593-2662,,General,221 S Bickford Ave,73036,Oklahoma City,4,
Rinehart Rinehart & Rinehart,http://rinehartlaw.net/,https://www.google.com/maps/place/?q=place_id:ChIJueaOIi77rYcRLJSK23Fxrvo,,El Reno,OK,Canadian,(405) 262-2360,,Estate Planning,115 S Rock Island Ave #2732,73036,Oklahoma City,2,
Steffen Sandy,,https://www.google.com/maps/place/?q=place_id:ChIJZa7pIS77rYcR8rF-rVBRzSk,,El Reno,OK,Canadian,(405) 262-1322,,General,107 S Rock Island Ave,73036,Oklahoma City,4,
Stevener Arthur Jr Attorney At Law,,,,El Reno,OK,Canadian,(405) 262-4511,,General,200 N Choctaw Ave,73036,Oklahoma City,4,
Susan D Williams PC,,,,El Reno,OK,Canadian,(405) 262-1449,,General,219 E Russell St,73036,Oklahoma City,4,
Swain Law Group,http://www.swainlawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJh-_c7C77rYcRsS5N0mXG8ok,,El Reno,OK,Canadian,(405) 501-0827,,Personal Injury,421 S Rock Island Ave,73036,Oklahoma City,5,
The Handley Law Center,https://www.handleylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ23ARIi77rYcREY4nMDLDF1E,,El Reno,OK,Canadian,(405) 295-1924,,Personal Injury,111 S Rock Island Ave,73036,Oklahoma City,5,5
The Law Office of Erik G. Roscom,http://roscomlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ1xcQnMn7rYcRoaQhIPdI150,,El Reno,OK,Canadian,(405) 295-1474,erik@roscomlaw.com,Criminal Defense,300 N Choctaw Ave Ste 3,73036,Oklahoma City,5,
Arnold Elaine,http://elainearnoldlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJNTFXyu4LsocRBR36LRrWfss,,Mustang,OK,Canadian,(405) 376-6014,,General,543 E State Hwy 152 Ste 101,73064,Oklahoma City,4,
Chris A Arledge PC,,https://www.google.com/maps/place/?q=place_id:ChIJ_7d1S-kLsocR7oHiYwmH2lQ,,Mustang,OK,Canadian,(405) 376-0911,,General,528 W State Hwy 152,73064,Oklahoma City,4,
Denton Law Firm,https://dentonlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJDd8F7zIKsocRaX6mbSjf1w0,,Mustang,OK,Canadian,(405) 376-2212,,Personal Injury,925 W State Hwy 152,73064,Oklahoma City,5,
Linda L Stevens PLLC,,https://www.google.com/maps/place/?q=place_id:ChIJDd8F7zIKsocR_tDthGCk3H0,,Mustang,OK,Canadian,(405) 376-7038,,General,925 W State Hwy 152,73064,Oklahoma City,4,
"Marvin Laws, P.C.",http://okconstructionlaw.net/,https://www.google.com/maps/place/?q=place_id:ChIJ__9P7jIKsocRltWN3Yb32HQ,,Mustang,OK,Canadian,(405) 381-9933,okconstructionlaw@outlook.com,Civil Litigation,925 W State Hwy 152 Suite M,73064,Oklahoma City,3,
"Miller Dollarhide, P.C.",http://www.millerdollarhide.com/,https://www.google.com/maps/place/?q=place_id:ChIJtcJJsygXsocRtl-J2huShdE,,Mustang,OK,Canadian,(405) 236-8541,,Social Security Disability,925 W State Hwy 152,73064,Oklahoma City,1,
"O'Brien Law Firm, PLLC",https://obrienlawok.com/home,https://www.google.com/maps/place/?q=place_id:ChIJ5cTam20LsYcR3_wJVf_APJA,,Mustang,OK,Canadian,(405) 479-1134,,Criminal Defense,7700 S Cimarron Rd,73064,Oklahoma City,5,
Oklahoma City Family Law Center,http://okcfamilylawcenter.com/,https://www.google.com/maps/place/?q=place_id:ChIJPcIGOKobsocRX5sn-6oo3-c,,Mustang,OK,Canadian,(405) 606-8713,,Family Law,202 N Mustang Rd Ste 20,73064,Oklahoma City,4,
"Oklahoma Conflict Resolution Consultants, LLC",http://www.okconflictres.com/,https://www.google.com/maps/place/?q=place_id:ChIJsdm5_f9NgEwRpbXIQ3mxJb4,,Mustang,OK,Canadian,(405) 982-5783,,Family Law,1460 N Mustang Rd Suite 112,73064,Oklahoma City,4,
Rehl Law Firm,http://www.rehllawfirm.com/contact/index.html,https://www.google.com/maps/place/?q=place_id:ChIJ__9P7jIKsocREQVtjqJ6ZNA,,Mustang,OK,Canadian,(405) 926-3369,,General,925 W State Hwy 152,73064,Oklahoma City,4,
"Rice Law Firm, PLLC",http://www.ricelawfirmok.com/,https://www.google.com/maps/place/?q=place_id:ChIJOWtjU0gLsocRfhsblQBXFwo,,Mustang,OK,Canadian,(405) 261-9802,Ricelawfirm.ok@gmail.com,Workers' Compensation,2019 E State Hwy 152 #101,73064,Oklahoma City,5,
The Law Office of Dakota C. Low,https://dakotalow.com/,https://www.google.com/maps/place/?q=place_id:ChIJQxwIbTEXsocRIbqX8_uGYgI,,Mustang,OK,Canadian,(405) 601-8899,dlow@dakotalow.com,Personal Injury,925 W State Hwy 152,73064,Oklahoma City,5,
The Law Office of Eliza Johnson,,https://www.google.com/maps/place/?q=place_id:ChIJC1EvdfYLsocRRm0QpRogruc,,Mustang,OK,Canadian,(405) 253-5817,,General,1321 E State Hwy 152,73064,Oklahoma City,4,
Vandruff Legal,,https://www.google.com/maps/place/?q=place_id:ChIJRVcDncMLsocRUEXibwXMZ9k,,Mustang,OK,Canadian,(405) 609-7684,,General,,73064,Oklahoma City,4,
"Dennis, Corry, Porter & Smith, L.L.P.",http://www.dcplaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJK07Jx4P_sYcRT_thbDNamD8,,Piedmont,OK,Canadian,(404) 365-0102,,General,3535 Piedmont Rd N #900,73078,Oklahoma City,4,
Becky J. Barney,http://barneylawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJo9no0YgmrIcR2hbAtl4t7K8,,Weatherford,OK,Canadian,(580) 772-2500,,General,115 N Broadway St,73096,Oklahoma City,4,
Clay Bruner,https://www.claybruner.com/,https://www.google.com/maps/place/?q=place_id:ChIJWz_0-hcmrIcRR3EzUbicduU,,Weatherford,OK,Canadian,(580) 774-5363,Clay@claybruner.com,Personal Injury,222 W Tom Stafford Ave,73096,Oklahoma City,5,
Duncan & Dirickson Attorneys At Law,,https://www.google.com/maps/place/?q=place_id:ChIJee23OWUmrIcRnStz--goqpg,,Weatherford,OK,Canadian,(580) 772-3207,,General,1100 E Main St Ste 305,73096,Oklahoma City,4,
Elwick Don,,https://www.google.com/maps/place/?q=place_id:ChIJ3ZsBmIkmrIcRC2Hgr6uhstw,,Weatherford,OK,Canadian,(580) 772-7228,,General,115 Custer St,73096,Oklahoma City,4,
Graft & Walraven,https://gwlawok.com/,https://www.google.com/maps/place/?q=place_id:ChIJbSPe5BcmrIcRw0Wft-Ej8qU,,Weatherford,OK,Canadian,(580) 772-7721,,General,2811 E Main St,73096,Oklahoma City,4,
"King Legal, PLLC",http://kinglegalok.com/,https://www.google.com/maps/place/?q=place_id:ChIJl4eE2bwnrIcRTq3lErYEmaI,,Weatherford,OK,Canadian,(580) 302-5282,info@kinglegalok.com,Estate Planning,118 W Main St,73096,Oklahoma City,2,
Legal Aid Services of Ok,https://www.legalaidok.org/,https://www.google.com/maps/place/?q=place_id:ChIJB9KNzogmrIcR0I_H4yjsnFk,,Weatherford,OK,Canadian,(580) 774-2235,,Family Law,109 S Broadway St,73096,Oklahoma City,4,
Long & Associates PC,,,,Weatherford,OK,Canadian,(580) 774-1650,,General,101 E Main St,73096,Oklahoma City,4,
Melrose L Minton III,https://www.mlmintonlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJzYH9mGImrIcRZ_UQTpqz5cE,,Weatherford,OK,Canadian,(580) 772-5546,tminton@sbcglobal.net,Personal Injury,400 E Main St,73096,Oklahoma City,5,
"Recker & Recker, PC",https://www.reckerandrecker.com/,https://www.google.com/maps/place/?q=place_id:ChIJY9gwaGMmrIcRdMw5AnGsByM,,Weatherford,OK,Canadian,(580) 302-5028,,Criminal Defense,109 S Broadway St,73096,Oklahoma City,5,
Schultz Law Firm,,https://www.google.com/maps/place/?q=place_id:ChIJhf_rzYgmrIcResdK9x49Lgk,,Weatherford,OK,Canadian,(580) 772-8600,,General,211 W Main St,73096,Oklahoma City,4,
"Stephen D. Beam, A Professional Corporation",https://www.stephenbeamlaw.net/,https://www.google.com/maps/place/?q=place_id:ChIJRyHszogmrIcRyrDWWTvv4EU,,Weatherford,OK,Canadian,(580) 302-5023,,Personal Injury,110 S Broadway St,73096,Oklahoma City,5,
Bedlam Law,https://bedlamlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ72ul2y4XsocRTvlQWFVQzn4,,Yukon,OK,Canadian,(405) 232-2444,info@bedlamlaw.com,Criminal Defense,1617 Professional Cir,73099,Oklahoma City,5,
Bison Law Firm,http://bisonlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJMUMXurAJsocRQM92TuWMC3A,,Yukon,OK,Canadian,(405) 407-0111,info@bisonlawfirm.com,Personal Injury,1609 Professional Cir,73099,Oklahoma City,5,6
Caldwell Estate Law,,https://www.google.com/maps/place/?q=place_id:ChIJAc8f2UcBsocRM5QU-qQLx_8,,Yukon,OK,Canadian,(405) 972-9352,,General,10948 Northwest Expy #4,73099,Oklahoma City,4,
Chad T Hantak Attorney at Law,,https://www.google.com/maps/place/?q=place_id:ChIJ8w36qBoLsocR0QZfSL5J6Kw,,Yukon,OK,Canadian,(405) 216-3230,,General,508 W Vandament Ave Ste.,73099,Oklahoma City,4,
Davis Business Law,https://davisbusinesslaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ5fXZwwUJsocROj86IPbLYHU,,Yukon,OK,Canadian,(405) 578-6053,office@davisbusinesslaw.com,Family Law,1617 Professional Cir,73099,Oklahoma City,4,2
Fassio Law Criminal Defense and DUI Attorneys,https://fassiolaw.com/locations/yukon-criminal-defense-attorney/,https://www.google.com/maps/place/?q=place_id:ChIJAfp_3hMBsocR-hW3pjw2ZzE,,Yukon,OK,Canadian,(405) 913-6576,,Criminal Defense,508 W Vandament Ave #304,73099,Oklahoma City,5,2
Hanes Law Firm,http://www.hanes-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJ455rt9cHsocRczFdufqQm9M,,Yukon,OK,Canadian,(405) 354-2833,hdh@haneslaw.net,Estate Planning,508 W Vandament Ave #300,73099,Oklahoma City,2,3
Henthorn B Christoph,http://www.henthornlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJ455rt9cHsocRlyMKWBy9lmU,,Yukon,OK,Canadian,(405) 350-1297,info@henthornlawfirm.com,Workers' Compensation,508 W Vandament Ave #306,73099,Oklahoma City,5,
Hohenheim Legal,https://www.darrenbarrlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJaUYYqmUHsocRnifMDmvgCb4,,Yukon,OK,Canadian,(828) 851-2963,,General,901 E Main St Ste 125,73099,Oklahoma City,4,
Holliday Law Firm,http://www.jhollidaylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ__9vEA0IsocRk6pfOcLKyuM,,Yukon,OK,Canadian,(405) 577-6977,,Estate Planning,1300 W Vandament Ave Ste 2701,73099,Oklahoma City,2,
Law Office of Brady Brus,,,,Yukon,OK,Canadian,(405) 623-7990,,General,,73085,Oklahoma City,4,
Law Office of Jennifer L. Hoskins,http://www.hoskinslawok.com/,https://www.google.com/maps/place/?q=place_id:ChIJG8eRzW8TsocRDR6MQjnAOf4,,Yukon,OK,Canadian,(405) 251-9856,,General,5 S 5th St,73099,Oklahoma City,4,
"Law Offices of Angela J. Smith, Advocacy Inc. PC",,https://www.google.com/maps/place/?q=place_id:ChIJl94PjNIQsocRTh5K8T7RmG8,,Yukon,OK,Canadian,(405) 239-2603,,General,508 W Vandament Ave Ste,73099,Oklahoma City,4,
Lee Law Firm,,,,Yukon,OK,Canadian,(405) 833-0432,,General,,73099,Oklahoma City,4,
Morris Law Office,,,,Yukon,OK,Canadian,(405) 265-8941,,General,PO Box 850717,73085,Oklahoma City,4,
Pizzini Law Firm,http://www.pizzini-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJvTtrt9cHsocRD_HrltwjWis,,Yukon,OK,Canadian,(405) 265-2845,,Family Law,508 W Vandament Ave #308,73099,Oklahoma City,4,
"Prestidge Law Firm, PC",,,,Yukon,OK,Canadian,(405) 577-7703,,General,520 Pointe Parkway Blvd,73099,Oklahoma City,4,
R Everett Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJ455rt9cHsocRREMr5L0o_Vc,,Yukon,OK,Canadian,(405) 350-0990,,General,508 W Vandament Ave,73099,Oklahoma City,4,
Stacy Legal Group,,https://www.google.com/maps/place/?q=place_id:ChIJI0IadwsTsocR3YHUzP0PuhU,,Yukon,OK,Canadian,(405) 735-3800,,General,432 S Mustang Rd Ste B,73099,Oklahoma City,4,
Tharp William,http://www.rameyandtharp.com/,https://www.google.com/maps/place/?q=place_id:ChIJD0pwMs8HsocRzdquGsjru44,,Yukon,OK,Canadian,(405) 354-1987,,Family Law,3 S 5th St,73099,Oklahoma City,4,
The Law Office of H.G. Drain LLC,http://hdrainlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJVVVFOGYDsocRdNmWG0D6wec,,Yukon,OK,Canadian,(405) 535-4555,hg@hdrainlaw.com,General,508 W Vandament Ave Ste 203,73099,Oklahoma City,4,
"Thomason Law, PLLC",http://www.thomason-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJF8tu4joQsocR8DVmNjvcQ_A,,Yukon,OK,Canadian,(405) 265-3565,,Estate Planning,115 E Vandament Ave,73099,Oklahoma City,2,
Tipps Shelley A,https://tippslawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJ455rt9cHsocR8tHxY8RwSWA,,Yukon,OK,Canadian,(405) 354-1801,shelley@tippslawfirm.com,Family Law,508 W Vandament Ave #202,73099,Oklahoma City,4,
"W Mark Hixson, P.C., Attorney at Law",http://hixson.law/,https://www.google.com/maps/place/?q=place_id:ChIJ2bom1sUHsocRLGANFC3drF0,,Yukon,OK,Canadian,(405) 354-6000,Mark@Hixson.Law,Estate Planning,1605F Professional Cir,73099,Oklahoma City,2,
Wheatley Segler Osby & Miller,,https://www.google.com/maps/place/?q=place_id:ChIJa1OOzMgHsocRclm_Ge30HCI,,Yukon,OK,Canadian,(405) 354-5276,,General,501 W Main St,73099,Oklahoma City,4,
Whitefeather Law Group,https://www.whitefeatherlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJtw1O_ncFsocRwOM1bvjaR0w,,Yukon,OK,Canadian,(405) 470-0682,,Personal Injury,10924 Northwest Expy,73099,Oklahoma City,5,3
