law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Legacy Legal LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=28710,Wichita,KS,Sedgwick,(316) 202-2067,,General,"8100 E. 22nd St N, Ste 1400-2",67226,Wichita,2,
Gibson Watson Marino LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27253,Wichita,KS,Sedgwick,(316) 264-7321,,General,301 N Main St Ste 1300,67202,Wichita,2,
Stange Law Firm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30661,Wichita,KS,Sedgwick,(316) 202-2041,,General,"2024 N. Woodlawn, Ste 407",67208,Wichita,2,
"Agnew Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30430,Wichita,KS,Sedgwick,(316) 202-4003,,General,"3201 E Douglas Ave, Suite 102",67218,Wichita,2,
"Triplett Woolf Garretson, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30740,Wichita,KS,Sedgwick,(316) 630-8100,,General,"2959 N. Rock Rd, Ste 300",67226,Wichita,2,
King Brennan & Albin LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14892,Wichita,KS,Sedgwick,(316) 263-0505,,General,833 N Waco,67203,Wichita,2,
Adams Jones Law Firm,,,https://directory-kard.kscourts.gov/Home/Details?regNum=26296,Wichita,KS,Sedgwick,(316) 265-8591,,General,1635 N Waterfront Pkwy Ste 200,67206,Wichita,2,
Martin Pringle Oliver Wallace & Bauer L.L.P.,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30549,Wichita,KS,Sedgwick,(316) 265-9311,,General,"645 E. Douglas, Ste 100",67202,Wichita,2,
DeVaughn James Injury Lawyers,,,https://directory-kard.kscourts.gov/Home/Details?regNum=27786,Wichita,KS,Sedgwick,(316) 977-9999,,General,3241 N Toben St,67226,Wichita,2,
"Slape & Howard, Chtd",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30344,Wichita,KS,Sedgwick,(316) 262-3445,,General,117 N Handley,67203,Wichita,2,
Geoffrey B Amend PA,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17141,Wichita,KS,Sedgwick,(316) 204-4105,,General,7607 Magill,67206,Wichita,2,
Fleeson Gooing Coulson & Kitch LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=30415,Wichita,KS,Sedgwick,(316) 267-7361,,General,1900 Epic Center 301 N Main St,67202,Wichita,2,
Foulston Siefkin LLP,,,https://directory-kard.kscourts.gov/Home/Details?regNum=6450,Wichita,KS,Sedgwick,(316) 291-9532,,General,1551 N Waterfront Pkwy #100,67206,Wichita,2,
Riedmiller Andersen & Scott LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12552,Wichita,KS,Sedgwick,(316) 263-0001,,General,532 N. Market St,67214,Wichita,2,
Law Office of Gregory Alan Andersen,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13562,Wichita,KS,Sedgwick,(316) 833-9685,,General,14714 E Siefkes St,67230,Wichita,2,
Sedgwick County District Attorney’s Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=23689,Wichita,KS,Sedgwick,(316) 660-3634,,General,"525 N. Main St, Ste 235",67203,Wichita,2,
"Cristy L. Anderson, Esq",,,https://directory-kard.kscourts.gov/Home/Details?regNum=20729,Wichita,KS,Sedgwick,(316) 204-9202,,General,3409 W Bayview St,67204,Wichita,2,
Morris Laing Evans Brock & Kennedy,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12209,Wichita,KS,Sedgwick,(316) 262-2671,,General,"300 N. Mead, Ste 200",67202-2722,Wichita,2,
Sedgwick County Counselor's Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=26095,Wichita,KS,Sedgwick,(316) 660-9340,,General,100 N Broadway St Ste 650,67202,Wichita,2,
"Penner Lowe Law Group, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=27617,Wichita,KS,Sedgwick,(316) 847-8847,,General,"245 North Waco Street, Ste 125",67202,Wichita,2,
Barry Arbuckle Attorney at Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=7227,Wichita,KS,Sedgwick,(316) 371-7597,,General,5565 N. St Clair,67204,Wichita,2,
Bever Dye LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=8170,Wichita,KS,Sedgwick,(316) 263-8294,,General,301 North Main Ste 600,67202-4806,Wichita,2,
Hinkle Law Firm LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=21736,Wichita,KS,Sedgwick,(316) 267-2000,,General,"1617 N. Waterfront Pkwy, Ste 400",67206-6639,Wichita,2,
Warrior Lawyers,,,https://directory-kard.kscourts.gov/Home/Details?regNum=14883,Wichita,KS,Sedgwick,(316) 265-5511,,General,328 N Main,67202,Wichita,2,
