law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
"Karstetter & Bina, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=24995,Mc Pherson,KS,McPherson,620-241-8800,,General,"322 N. Main, Suite 201",67460,,2,
Gregory Inc,,,https://directory-kard.kscourts.gov/Home/Details?regNum=15048,Buhler,KS,McPherson,620-860-8700,,General,PO Box 410,67522,,2,
Succession + LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=24835,McPherson,KS,McPherson,620-755-3054,,General,1105 Forest Ct,67460,,2,
"Elliott Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=25435,McPherson,KS,McPherson,620-504-9773,,General,114 N Main St,67460,,2,
Wise & Reber LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=16807,McPherson,KS,McPherson,620-241-0554,,General,120 W. Kansas Ave. Ste B,67460,,2,
Ty Kaufman Law Office LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=6988,McPherson,KS,McPherson,620-504-9401,,General,"121 W Marlin, Ste 303 PO Box 1264",67460-1264,,2,
"David R. Klaassen, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=11738,Marquette,KS,McPherson,785-546-2358,,General,2649 Sixth Ave,67464,,2,
Law Offices of Sanford Nathan,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17411,McPherson,KS,McPherson,620-345-3275,,General,1766 Chisholm Road,67460,,2,
"Allen & Associates Law, LLC",,,https://directory-kard.kscourts.gov/Home/Details?regNum=26014,McPherson,KS,McPherson,620-798-4250,,General,207 N Main Ste 202,67460,,2,
Strella Legal Services LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=28916,McPherson,KS,McPherson,620-291-4055,,General,"109 N. Main St, Ste 205",67460,,2,
"SUSAN J WHITFIELD HARDING, PA",,,https://directory-kard.kscourts.gov/Home/Details?regNum=11895,Lindsborg,KS,McPherson,785-212-0884,,General,PO Box 363,67456-0363,,2,
"Boyer & Price Law Office, P.A.",,,https://directory-kard.kscourts.gov/Home/Details?regNum=17712,Mcpherson,KS,McPherson,620-241-0024,,General,P.O. Box 1335,67460-1335,,2,
Adoption Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10425,McPherson,KS,McPherson,620-755-6905,,General,PO Box 443,67460,,2,
Wise & Reber LC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13130,Mc Pherson,KS,McPherson,620-241-0554,,General,120 W. Kansas Ave Ste B,67460-1146,,2,
Murphy's Law LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=28112,Lindsborg,KS,McPherson,785-787-4040,,General,PO Box 166,67456,,2,
Johnson and Kinzel,,,https://directory-kard.kscourts.gov/Home/Details?regNum=9784,McPherson,KS,McPherson,620-241-4533,,General,PO Box 866,67460,,2,
Pyle Law,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17613,McPherson,KS,McPherson,620-241-9000,,General,705 W. Kansas Ave,67460,,2,
"Michael T Mills, Chartered",,,https://directory-kard.kscourts.gov/Home/Details?regNum=5933,McPherson,KS,McPherson,620-241-7007,,General,111 East Marlin P.O. Box 276,67460,,2,
William S. Mills Law Office,,,https://directory-kard.kscourts.gov/Home/Details?regNum=6675,McPherson,KS,McPherson,620-241-7333,,General,900 N Main PO Box 1244,67460,,2,
