law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority,number_of_lawyers
Edward J Battitori Lawyer,,https://www.google.com/maps/place/?q=place_id:ChIJ1T0MgvTCx4cR_R2Mj94ihV8,,Cherokee,KS,Crawford,(620) 457-8008,,General,612 S Cypress St,66724,Pittsburg,4,
"Bonner Law Office, LLC",https://www.bonnerlawofficellc.com/,https://www.google.com/maps/place/?q=place_id:ChIJnSSbBaQJsG4RW0K9GhMAqv0,,Frontenac,KS,Crawford,(620) 240-9951,matt@bonnerlawofficellc.com,Personal Injury,405 E McKay St,66763,Pittsburg,5,
Brunetti Law Office,http://www.brunettilawoffice.com,,,Frontenac,KS,Crawford,(620) 235-0100,,General,214 E McKay St,66763,Pittsburg,4,
Law Office of Vance E. White,,,,Fulton,KS,Crawford,(620) 644-8133,,General,120 W Osage St,66738,Pittsburg,4,
"Beezley Law, LLC",,https://www.google.com/maps/place/?q=place_id:ChIJvVGNfe_sx4cRPtQLL8YZOBQ,,Girard,KS,Crawford,(620) 724-4111,sara@beezley.law,General,126 S Ozark St,66743,Pittsburg,4,
"Jonathan D. Zimmerman, Attorney at Law",,,,Girard,KS,Crawford,(620) 724-8534,,General,"112 South Ozark, PO Box 38",66743,Pittsburg,4,
Loffswold Jr Richard D,,https://www.google.com/maps/place/?q=place_id:ChIJUVvVE-Xsx4cRLkhB9Pb0vgc,,Girard,KS,Crawford,(620) 724-4115,,General,105 E Prairie St,66743,Pittsburg,4,
Timothy L Fielder Law Office,http://www.ckt.net,https://www.google.com/maps/place/?q=place_id:ChIJB1Wmo-Xsx4cRD8-JTKiN5bA,,Girard,KS,Crawford,(620) 724-4214,,DUI,110 E Forest Ave,66743,Pittsburg,5,
Angermayer Law LLC,,,,Pittsburg,KS,Crawford,(620) 231-7300,,General,PO Box 686,66762,Pittsburg,4,
Battitori Edward J Law Office,http://www.huntov.com,,,Pittsburg,KS,Crawford,(620) 230-0333,,Intellectual Property,501 N Broadway St,66762,Pittsburg,1,
Broadway Law Office,http://www.broadwaylawoffice.com,https://www.google.com/maps/place/?q=place_id:ChIJJaycfvPCx4cRiQd0cHYRWhw,,Pittsburg,KS,Crawford,(620) 232-3319,,General,424 N Broadway St #3919,66762,Pittsburg,4,
"Frederick, Maradeth",,https://www.google.com/maps/place/?q=place_id:ChIJkaKxX_HCx4cRVQhbr7wiFZo,,Pittsburg,KS,Crawford,(620) 429-0620,,General,602 N Locust St,66762,Pittsburg,4,
"Hite Law, LLC",https://www.hite-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJtxv9Dj_Dx4cRrgZ-f8ljdp4,,Pittsburg,KS,Crawford,(620) 687-5462,kaylyn@hite-law.com,Criminal Defense,919 N Broadway St Ste C,66762,Pittsburg,5,
Jason P Wiske Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJ4e83cvPCx4cRcsEfjVYaeg0,,Pittsburg,KS,Crawford,(620) 235-1550,,General,113 W 4th St,66762,Pittsburg,4,
Jessica Watts,,,,Pittsburg,KS,Crawford,(785) 289-3151,jessica-watts@outlook.com,Criminal Defense,,66762,Pittsburg,5,
Kansas Legal Services,https://www.kansaslegalservices.org/,https://www.google.com/maps/place/?q=place_id:ChIJH4KKuozCx4cRMaTpsiwo81M,,Pittsburg,KS,Crawford,(620) 232-1330,leec@klsinc.org,Criminal Defense,408 N Walnut St,66762,Pittsburg,5,
Law Office of Mark A. Werner,https://www.markwernerlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ8dfUhfLCx4cRmlfEL0xLmYI,,Pittsburg,KS,Crawford,(620) 206-4082,,Estate Planning,201 S Broadway St C,66762,Pittsburg,2,
Linda E Dewitt Attorney,,,,Pittsburg,KS,Crawford,(620) 670-4147,,General,200 W 4th St,66762,Pittsburg,4,
Loy Law Firm,,,,Pittsburg,KS,Crawford,(620) 231-3960,,General,112 W 4th St,66762,Pittsburg,4,
Mazurek Law Firm,http://www.mazureklawoffice.com/,,,Pittsburg,KS,Crawford,(620) 231-6030,,General,302 E 4th Street A,66762,Pittsburg,4,
"Meyer Law Firm, LLC",http://www.angelameyerlaw.com,,,Pittsburg,KS,Crawford,(620) 404-5111,angela@angelameyerlaw.com,Criminal Defense,1315 N. Broadway,66762,Pittsburg,5,
Mitchelson Kevin F Attorney,,,,Pittsburg,KS,Crawford,(620) 231-3485,,General,209 Elmwood Dr,66762,Pittsburg,4,
"Patrick C. Smith, Attorney at Law",https://www.pcs-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJz4fZR_TCx4cRHURCZhpzyck,,Pittsburg,KS,Crawford,(620) 308-6692,pat@pcs-law.com,Personal Injury,708 N Locust St B,66762,Pittsburg,5,3
Sarah A. Mills,,https://www.google.com/maps/place/?q=place_id:ChIJTfgdc_PCx4cR5GNJrUcxm_Q,,Pittsburg,KS,Crawford,(620) 231-9873,,General,3011 N Michigan St,66762,Pittsburg,4,
Spigarelli Law Firm,https://www.spigarelli-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJZc-ZjPLCx4cRgiZ03EGR8Bc,,Pittsburg,KS,Crawford,(620) 231-1290,,Personal Injury,515 N Broadway St,66762,Pittsburg,5,2
"The Law Office of Clifford W. Lee, LLC",,https://www.google.com/maps/place/?q=place_id:ChIJj9Se_jHDx4cRV8zj-NFC7I4,,Pittsburg,KS,Crawford,(620) 203-2426,,General,105 W 7th St Suite 100-A,66762,Pittsburg,4,
The Law Office of William L. Phalen,https://phalenlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJrdjgRfPCx4cRCclQDuTI2KI,https://directory-kard.kscourts.gov/Home/Details?regNum=12935,Pittsburg,KS,Crawford,(620) 235-1806,,Personal Injury,200 W 4th St,66762,Pittsburg,5,
The Menghini Law Firm,https://www.menghinilawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJ6RiYJ3TDx4cRm7hFEHkPEkA,,Pittsburg,KS,Crawford,(620) 240-5100,henry@hmenghinilaw.com,Estate Planning,104 W 6th St,66762,Pittsburg,2,
Triplett Woolf Garretson LLC,,,,Pittsburg,KS,Crawford,(620) 231-5620,,General,506 N Pine,66762-1116,Pittsburg,4,
"Wheeler & Mitchelson, Chartered",http://www.wheelerandmitchelson.com/,https://www.google.com/maps/place/?q=place_id:ChIJE_yiSMDCx4cRCtqYGF5MiBI,,Pittsburg,KS,Crawford,(620) 231-4650,jmitchelson@wm-law.com,Estate Planning,319 N Broadway St,66762,Pittsburg,2,
Charles L. Casassa,,,https://directory-kard.kscourts.gov/Home/Details?regNum=17889,Girard,KS,Crawford,(970) 903-3824,,General,405 S Summit St,66743,Pittsburg,2,
The Fleming Law Firm LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=25761,Pittsburg,KS,Crawford,(620) 230-0832,,General,PO Box 1567,66762,Pittsburg,2,
Law Office of Mark E. Fern,,,https://directory-kard.kscourts.gov/Home/Details?regNum=13812,Pittsburg,KS,Crawford,(620) 249-3109,,General,115 E 14th St,66762,Pittsburg,2,
Frederick R. Smith,,,https://directory-kard.kscourts.gov/Home/Details?regNum=10940,Farlington,KS,Crawford,(620) 249-0799,,General,479 E 680th Ave,66734,Pittsburg,2,
Young Williams,,,https://directory-kard.kscourts.gov/Home/Details?regNum=12563,Pittsburg,KS,Crawford,(620) 682-9600,,General,"200 E. Centennial, Ste 15",66762,,2,
TAMKO Building Products LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=15945,Galena,KS,Crawford,(417) 624-6644,,General,198 Four States Dr PO Box 97,66739-0097,,2,
Atropos Arms LLC,,,https://directory-kard.kscourts.gov/Home/Details?regNum=28996,Cherokee,KS,Crawford,(417) 262-3040,,General,812 W. Pine,66724,,2,
"Darrel G. Shumake, Attorney",,,https://directory-kard.kscourts.gov/Home/Details?regNum=8591,Columbus,KS,Crawford,(620) 429-2284,,General,117 W Maple PO Box 73,66725,,2,
Watco,,,https://directory-kard.kscourts.gov/Home/Details?regNum=21809,Pittsburg,KS,Crawford,(202) 643-8576,,General,315 W 3rd St,66762,,2,
"Addison A. Tucker, Attorney at Law",,,https://directory-kard.kscourts.gov/Home/Details?regNum=30324,Galena,KS,Crawford,(417) 208-9082,,General,PO Box 4,66739,,2,
